时间,地区,装机规模,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2023年,中国,37.7,GW,中国可再生能源学会,https://www.chyxx.com/industry/1191310.html,2024/9/21,,,,,,,,,,,,,
2023年,广东省,12.5,GW,智研咨询,https://www.chyxx.com/industry/1191310.html,2024/9/21,,,,,,,,,,,,,
2023年,福建省,10.2,GW,智研咨询,https://www.chyxx.com/industry/1191310.html,2024/9/21,,,,,,,,,,,,,
2023年,江苏省,8.5,GW,智研咨询,https://www.chyxx.com/industry/1191310.html,2024/9/21,,,,,,,,,,,,,
2023年,浙江省,6.5,GW,智研咨询,https://www.chyxx.com/industry/1191310.html,2024/9/21,,,,,,,,,,,,,
2023年,山东省,15.3,GW,中国电力网,http://www.chinapower.com.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.7,GW,海南日报,http://www.hinews.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,9.8,GW,经济日报,http://www.ce.cn,2024/9/21,,,,,,,,,,,,,
2023年,陕西省,5.6,GW,西北建筑,http://www.xbjs.com,2024/9/21,,,,,,,,,,,,,
2023年,四川省,11.4,GW,四川省能源局,http://www.scnb.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,重庆市,7.2,GW,重庆晨报,http://www.cqcb.com,2024/9/21,,,,,,,,,,,,,
2024年,河北省,13.1,GW,河北环境网,http://www.hbepb.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,云南省,6.9,GW,云南日报,http://www.yn.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,广西壮族自治区,5.2,GW,广西电力公司,http://www.gxep.com,2024/9/21,,,,,,,,,,,,,
2023年,吉林省,3.8,GW,吉林省发改委,http://www.jl.gov.cn,2024/9/21,,,,,,,,,,,,,
2023年,海南省,4.3,GW,中国电力统计年鉴,http://www.chinapower.com.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,15,GW,国家能源局,http://www.nea.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.8,GW,中国海洋协会,http://www.cma.org.cn/,2024/9/21,,,,,,,,,,,,,
