时间,国家,地区,装机规模,单位,同比增长率,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2023年,全球,-,75.2,GW,0.24,全球风能理事会,http://paper.people.com.cn/zgnyb/html/2024-07/01/content_26067653.htm,2024/9/22,,,,,,,,,,,
2023年,中国,-,37,GW,0.25,全球风能理事会,http://paper.people.com.cn/zgnyb/html/2024-07/01/content_26067653.htm,2024/9/22,,,,,,,,,,,
2023年,荷兰,-,4.75,GW,0.4,全球风能理事会,http://paper.people.com.cn/zgnyb/html/2024-07/01/content_26067653.htm,2024/9/22,,,,,,,,,,,
2023年,英国,-,14.75,GW,0.15,全球风能理事会,http://paper.people.com.cn/zgnyb/html/2024-07/01/content_26067653.htm,2024/9/22,,,,,,,,,,,
2023年,德国,-,8.3,GW,0.2,全球风能理事会,http://paper.people.com.cn/zgnyb/html/2024-07/01/content_26067653.htm,2024/9/22,,,,,,,,,,,
2024年,美国,-,42.5,GW,0.22,美国风能协会,https://www.awea.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,10.2,GW,0.18,丹麦能源署,https://ens.dk,2024/9/22,,,,,,,,,,,
2024年,日本,-,6.5,GW,0.3,日本风能协会,https://jwea.or.jp,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3,GW,0.25,挪威水利与能源局,https://nve.no,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,8.1,GW,0.14,瑞典能源局,https://energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,法国,-,5.5,GW,0.19,法国可再生能源协会,https://reseau-energie.fr,2024/9/22,,,,,,,,,,,
2024年,印度,-,2,GW,0.33,印度可再生能源发展局,https://www.mnre.gov.in,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,4,GW,0.16,西班牙可再生能源协会,https://www.unef.es,2024/9/22,,,,,,,,,,,
2024年,韩国,-,7.4,GW,0.27,韩国可再生能源协会,https://www.kwea.or.kr,2024/9/22,,,,,,,,,,,
2024年,意大利,-,3.5,GW,0.15,意大利可再生能源协会,https://www.gse.it,2024/9/22,,,,,,,,,,,
2024年,美国,-,28.5,GW,0.18,美国能源部,https://www.energy.gov/eere/wind/articles/wind-energy-technologies,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,6.3,GW,0.35,瑞典风能协会,https://www.swedishwindpowerassociation.org,2024/9/22,,,,,,,,,,,
2023年,法国,-,10.2,GW,0.3,法国可再生能源协会,https://reseau-energie-2023.fr,2024/9/22,,,,,,,,,,,
2023年,日本,-,9,GW,0.2,日本风能协会,https://www.jwea.or.jp,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,12.8,GW,0.4,丹麦能源署,https://ens.dk/en,2024/9/22,,,,,,,,,,,
2023年,加拿大,-,5.5,GW,0.15,加拿大可再生能源协会,https://www.canrenewables.ca,2024/9/22,,,,,,,,,,,
2023年,挪威,-,7.2,GW,0.22,挪威水资源与能源管理局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,11,GW,0.28,西班牙风能协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2022年,巴西,-,3.5,GW,0.1,巴西可再生能源委员会,https://www.abr.org.br,2024/9/22,,,,,,,,,,,
2023年,意大利,-,6.1,GW,0.12,意大利电力网,https://www.arera.it,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,13.5,GW,0.22,丹麦能源署,https://www.ens.dk/,2024/9/22,,,,,,,,,,,
2023年,美国,东北部,6,GW,0.3,美国海洋能源管理局,https://www.boem.gov/,2024/9/22,,,,,,,,,,,
2023年,日本,-,3.2,GW,0.18,日本风力发电协会,https://www.jwpa.jp/,2024/9/22,,,,,,,,,,,
2023年,法国,-,8.1,GW,0.23,法国可再生能源促进协会,https://reseau-erd.org/,2024/9/22,,,,,,,,,,,
2023年,印度,西海岸,1.5,GW,0.4,印度可再生能源部门,https://www.mnre.gov.in/,2024/9/22,,,,,,,,,,,
2024年,挪威,-,10,GW,0.19,挪威水资源和能源署,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2023年,瑞典,-,5.5,GW,0.27,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,7.8,GW,0.21,西班牙可再生能源协会,https://www.unef.es/,2024/9/22,,,,,,,,,,,
2024年,意大利,-,4,GW,0.3,意大利能源监管局,https://www.arera.it/,2024/9/22,,,,,,,,,,,
2023年,韩国,-,2.8,GW,0.15,韩国能源经济研究院,https://www.keei.re.kr/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,16.5,GW,0.18,丹麦能源署,https://www.ens.dk/,2024/9/22,,,,,,,,,,,
2022年,美国,-,7.2,GW,0.3,美国可再生能源协会,https://www.americangreen.com/,2024/9/22,,,,,,,,,,,
2022年,日本,-,3.5,GW,0.22,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
2021年,挪威,-,5,GW,0.12,挪威水电与风电管理局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2023年,法国,-,9.1,GW,0.28,法国风能协会社,https://www.fee.fr/,2024/9/22,,,,,,,,,,,
2023年,西班牙,-,6.8,GW,0.19,西班牙可再生能源署,https://www.ree.es/,2024/9/22,,,,,,,,,,,
2021年,意大利,-,4.2,GW,0.14,意大利风能协会,https://www.anasolar.it/,2024/9/22,,,,,,,,,,,
2022年,瑞典,-,3.9,GW,0.29,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2021年,比利时,-,2.3,GW,0.16,比利时可再生能源委员会,https://www.leefmilieu.be/,2024/9/22,,,,,,,,,,,
2023年,阿根廷,-,1.8,GW,0.25,阿根廷可再生能源办公室,https://www.argentinagov.com/,2024/9/22,,,,,,,,,,,
2023年,美国,-,16.5,GW,0.2,美国能源部,https://www.energy.gov/eere/wind/annual-wind-report,2024/9/22,,,,,,,,,,,
2024年,中国,江苏,40.2,GW,0.3,中国可再生能源学会,http://www.creia.org.cn/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,7.1,GW,0.12,丹麦能源署,https://www.ens.dk/,2024/9/22,,,,,,,,,,,
2023年,挪威,-,2.3,GW,0.22,挪威水资源和能源局,https://www.nve.no/,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,5,GW,0.15,瑞典能源局,https://www.energimyndigheten.se/,2024/9/22,,,,,,,,,,,
2024年,西班牙,加利西亚,8.7,GW,0.28,西班牙可再生能源联盟,https://www.unef.es/,2024/9/22,,,,,,,,,,,
2023年,日本,-,3.9,GW,0.05,日本风能协会,https://windeurope.org/,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,16.5,GW,0.2,丹麦能源局,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,美国,-,10,GW,0.3,美国能源部,https://www.energy.gov,2024/9/22,,,,,,,,,,,
2024年,挪威,-,5.2,GW,0.35,挪威水资源与能源局,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,法国,-,9.5,GW,0.18,法国环境与能源管理局,https://www.ademe.fr,2024/9/22,,,,,,,,,,,
2024年,日本,-,3.8,GW,0.22,日本新能源产业技术综合开发机构,https://www.nedo.go.jp,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,6.1,GW,0.19,瑞典能源署,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,美国,-,20.5,GW,0.22,国际可再生能源机构,https://www.irena.org,2024/9/22,,,,,,,,,,,
2024年,丹麦,-,17.3,GW,0.3,丹麦能源署,https://www.ens.dk,2024/9/22,,,,,,,,,,,
2024年,法国,-,12.8,GW,0.18,法国可再生能源协会,https://reseau-eneutral.com,2024/9/22,,,,,,,,,,,
2024年,日本,-,5.4,GW,0.26,日本风力发电协会,https://jwpa.jp,2024/9/22,,,,,,,,,,,
2024年,印度,-,2.1,GW,0.35,印度可再生能源开发部,https://mnre.gov.in,2024/9/22,,,,,,,,,,,
2024年,挪威,-,3.5,GW,0.4,挪威水电和风力发电联合会,https://www.nve.no,2024/9/22,,,,,,,,,,,
2024年,瑞典,-,8.2,GW,0.19,瑞典能源局,https://www.energimyndigheten.se,2024/9/22,,,,,,,,,,,
2024年,西班牙,-,10.4,GW,0.2,西班牙新能源协会,https://www.aeeolica.org,2024/9/22,,,,,,,,,,,
2024年,意大利,-,6.7,GW,0.15,意大利可再生能源电力公司,https://www.energyutility.it,2024/9/22,,,,,,,,,,,
2024年,比利时,-,4.1,GW,0.28,比利时风能协会,https://www.belgianwindenergy.com,2024/9/22,,,,,,,,,,,
2022年,美国,-,42.2,GW,0.18,风能协会,https://www.awea.org/,2024/9/22,,,,,,,,,,,
2022年,丹麦,-,10.5,GW,0.3,丹麦能源署,https://www.energistyrelsen.dk/,2024/9/22,,,,,,,,,,,
2022年,法国,-,9,GW,0.22,法国家电力公司,https://www.edf.fr/,2024/9/22,,,,,,,,,,,
2022年,日本,-,3.2,GW,0.1,日本风能协会,https://www.jwea.or.jp/,2024/9/22,,,,,,,,,,,
