船厂名称,年份,月份,所属国家,所属地区,订单情况,船东情况,在建数量,采集来源,来源链接,采集时间,备注,,,,,,,,
大连造船,2023,12,中国,辽宁省,新接订单10艘,国内船东,5,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0131/c1004-40170498.html,2024-09-23,,,,,,,,,
中远海运重工,2023,12,中国,上海市,新接订单8艘,国内船东,4,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0131/c1004-40170498.html,2024-09-23,,,,,,,,,
中集来福士,2023,12,中国,广东省,新接订单6艘,国内船东,3,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0131/c1004-40170498.html,2024-09-23,,,,,,,,,
韩国三星重工,2023,12,韩国,济州岛,新接订单5艘,国际船东,2,克拉克森,https://www.cinn.cn/p/324712.html,2024-09-23,,,,,,,,,
日本三菱重工,2023,12,日本,东京,新接订单3艘,国际船东,2,克拉克森,https://www.cinn.cn/p/324712.html,2024-09-23,,,,,,,,,
滨海船厂,2024,1,中国,天津市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.cssc.net.cn/,2024-09-23,,,,,,,,,
现代重工,2024,1,韩国,蔚山,新接订单7艘,国际船东,5,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
戴尔船舶,2023,11,中国,江苏省,新接订单4艘,国际船东,2,船舶公司新闻,http://www.shipsnews.com/,2024-09-23,,,,,,,,,
欧洲造船,2023,12,德国,汉堡,新接订单9艘,国际船东,3,德国海事局,https://www.bsh.de/,2024-09-23,,,,,,,,,
新加坡船厂,2023,12,新加坡,圣淘沙,新接订单11艘,国际船东,8,新加坡航运港口局,https://www.singaporeport.gov.sg/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼,2024,2,意大利,热那亚,新接订单5艘,国际船东,3,国际航运协会,https://www.icc-ccs.org/,2024-09-23,,,,,,,,,
阿布扎比船厂,2024,1,阿联酋,阿布扎比,新接订单6艘,国内船东,4,阿联酋海事行业协会,http://www.uaemaritime.ae/,2024-09-23,,,,,,,,,
俄罗斯海运重工,2023,11,俄罗斯,圣彼得堡,新接订单3艘,国际船东,1,俄罗斯船舶协会,http://www.rss.org.ru/,2024-09-23,,,,,,,,,
巴西造船厂,2024,2,巴西,里约热内卢,新接订单10艘,国内船东,7,巴西海运局,http://www.antaq.gov.br/,2024-09-23,,,,,,,,,
印度海洋工程,2024,1,印度,孟买,新接订单8艘,国际船东,5,印度船舶公司,http://www.shipbuildingindia.com/,2024-09-23,,,,,,,,,
沪东中华造船,2024,1,中国,上海市,新接订单15艘,国际船东,6,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0120/c1004-40150000.html,2024-09-23,,,,,,,,,
现代重工,2023,11,韩国,蔚山,新接订单12艘,国内船东,7,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
日本川崎重工,2023,12,日本,兵库县,新接订单4艘,国际船东,3,海事新闻,https://www.maritime-news.net/,2024-09-23,,,,,,,,,
新加坡德鲁里造船,2024,2,新加坡,新加坡,新接订单9艘,国际船东,5,国际海事组织,http://www.imo.org/,2024-09-23,,,,,,,,,
天津造船,2023,12,中国,天津市,新接订单7艘,国内船东,3,中国船舶工业行业协会,http://finance.people.com.cn/n1/2024/0130/c1004-40160000.html,2024-09-23,,,,,,,,,
瑞典海洋工程公司,2024,3,瑞典,斯德哥尔摩,新接订单10艘,国际船东,8,瑞典航运协会,http://www.swedishshipping.se/,2024-09-23,,,,,,,,,
挪威船舶制造,2024,1,挪威,奥斯陆,新接订单5艘,国际船东,4,挪威海事协会,http://www.norwayshipping.no/,2024-09-23,,,,,,,,,
越南造船厂,2023,12,越南,胡志明市,新接订单6艘,国内船东,2,越南海事局,http://www.vietnammaritime.gov.vn/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船,2024,2,意大利,热那亚,新接订单3艘,国际船东,3,国际船舶期刊,https://www.shippingjournal.com/,2024-09-23,,,,,,,,,
巴西造船工业公司,2024,1,巴西,里约热内卢,新接订单11艘,国内船东,1,巴西国家海事局,http://www.brazilmaritimeregistry.gov.br/,2024-09-23,,,,,,,,,
武汉船舶工业,2023,11,中国,湖北省,新接订单7艘,国内船东,6,中国船舶工业协会,http://www.csic.com.cn,2024-09-23,,,,,,,,,
海洋工程重工,2023,10,中国,山东省,新接订单4艘,国际船东,3,国际海事组织,http://www.imo.org,2024-09-23,,,,,,,,,
泰华重工,2023,11,泰国,曼谷,新接订单12艘,国际船东,8,克拉克森,https://www.clarksons.com,2024-09-23,,,,,,,,,
新加坡船厂集团,2023,12,新加坡,新加坡,新接订单15艘,国际船东,10,新加坡海事局,https://www.singapore.gov.sg,2024-09-23,,,,,,,,,
挪威海洋重工,2023,12,挪威,奥斯陆,新接订单3艘,国际船东,1,挪威海事协会,https://www.sjofartsdir.no,2024-09-23,,,,,,,,,
阿联酋船舶制造公司,2023,10,阿联酋,迪拜,新接订单9艘,国际船东,7,阿联酋海事协会,https://www.uasc.net,2024-09-23,,,,,,,,,
越南造船厂,2023,12,越南,胡志明市,新接订单5艘,国内船东,2,越南造船工业协会,https://www.vietship.com.vn,2024-09-23,,,,,,,,,
墨西哥国营船厂,2023,11,墨西哥,卡门港,新接订单2艘,国内船东,1,墨西哥海洋管理局,https://www.gob.mx,2024-09-23,,,,,,,,,
德国赫尔德船厂,2023,11,德国,汉堡,新接订单8艘,国际船东,4,德国船舶工业协会,https://www.vdma.org,2024-09-23,,,,,,,,,
荷兰海洋重工,2023,10,荷兰,鹿特丹,新接订单11艘,国际船东,9,荷兰航运协会,https://www.ssrv.nl,2024-09-23,,,,,,,,,
柳州船舶,2023,12,中国,广西省,新接订单7艘,国内船东,3,船舶制造网,http://www.shipbuilding.com.cn,2024-09-23,,,,,,,,,
大连重工,2024,1,中国,辽宁省,新接订单12艘,国际船东,6,国际船舶工业联合会,http://www.iims.org,2024-09-23,,,,,,,,,
芬兰拉赫提船厂,2022,11,芬兰,南卡累利阿,新接订单9艘,国际船东,8,芬兰船舶协会,http://www.finnishmarine.com,2024-09-23,,,,,,,,,
三井造船,2023,10,日本,长崎县,新接订单4艘,国内船东,1,日本船舶产业协会,http://www.japan-shipbuilding.org,2024-09-23,,,,,,,,,
普利茅斯造船,2023,12,英国,英格兰,新接订单3艘,国际船东,2,英国内政部,http://www.gov.uk,2024-09-23,,,,,,,,,
吉利克斯船厂,2024,1,中国,浙江省,新接订单15艘,国内船东,10,中国船舶研究中心,http://www.csic.com.cn,2024-09-23,,,,,,,,,
巴西海跃船厂,2023,11,巴西,圣保罗,新接订单5艘,国际船东,3,巴西造船工业协会,http://www.ibp.org.br,2024-09-23,,,,,,,,,
凯瑟尔船厂,2023,12,挪威,特隆赫姆,新接订单6艘,国际船东,4,挪威船舶协会,http://www.norwegianmarine.org,2024-09-23,,,,,,,,,
科斯塔造船,2023,11,意大利,热那亚,新接订单10艘,国际船东,5,意大利造船商会,http://www.assonavi.org,2024-09-23,,,,,,,,,
曼彻斯特造船,2023,12,英国,曼彻斯特,新接订单2艘,国内船东,1,英国海事商业协会,http://www.bmra.org.uk,2024-09-23,,,,,,,,,
天津船舶重工,2023,11,中国,天津市,新接订单12艘,国际船东,7,中国船舶重工协会,http://www.cssc.net.cn/,2024-09-23,,,,,,,,,
瑞典瓦尔基尔造船厂,2023,12,瑞典,哥德堡,新接订单4艘,国际船东,3,瑞典海事局,https://www.sjofartsverket.se/,2024-09-23,,,,,,,,,
新加坡OST造船,2023,10,新加坡,新加坡,新接订单15艘,国内船东,10,新加坡海事与港务局,https://www.singapore.gov.sg/,2024-09-23,,,,,,,,,
美国亨廷顿英戈尔斯工业公司,2024,1,美国,弗吉尼亚州,新接订单9艘,国际船东,6,美国海军部,https://www.navy.mil/,2024-09-23,,,,,,,,,
巴西船厂,2023,12,巴西,里约热内卢,新接订单5艘,国内船东,2,巴西港口和航运局,http://www.antt.gov.br/,2024-09-23,,,,,,,,,
挪威船舶设计公司,2023,11,挪威,奥斯陆,新接订单7艘,国际船东,4,挪威船舶协会,http://www.sjofartsdirektoratet.no/,2024-09-23,,,,,,,,,
印度塔塔造船公司,2024,2,印度,孟买,新接订单11艘,国内船东,5,印度船舶工业协会,http://www.indianshipping.com/,2024-09-23,,,,,,,,,
俄罗斯红星造船公司,2023,10,俄罗斯,圣彼得堡,新接订单8艘,国际船东,6,俄罗斯海运协会,http://www.morflot.ru/,2024-09-23,,,,,,,,,
西班牙巴利亚尔造船公司,2023,12,西班牙,马德里,新接订单3艘,国际船东,1,西班牙港口和航运局,http://www.puertos.es/,2024-09-23,,,,,,,,,
意大利芬坎蒂尼造船集团,2024,1,意大利,热那亚,新接订单6艘,国内船东,3,意大利航运和港口协会,http://www.portauthority.it/,2024-09-23,,,,,,,,,
江南造船,2024,1,中国,上海市,新接订单15艘,国际船东,8,中国船舶工业协会,http://www.cba.org.cn/,2024-09-23,,,,,,,,,
天津造船,2023,11,中国,天津市,新接订单12艘,国内船东,6,中国船舶工业行业协会,http://www.cba.org.cn/,2024-09-23,,,,,,,,,
现代重工,2023,10,韩国,蔚山,新接订单4艘,国际船东,3,克拉克森,https://www.clarksons.com/,2024-09-23,,,,,,,,,
鹭港船舶,2023,12,中国,福建省,新接订单7艘,国内船东,5,福建船舶工业协会,http://www.fjshipbuilding.gov.cn/,2024-09-23,,,,,,,,,
