技术名称,技术类别,产业化进度,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
CRISPR基因编辑技术,基因编辑,已实现产业化,中国科学院微生物所,http://www.xml-data.org/KXYSH/html/1f9b9b68-7839-4192-b211-15bd794b41c5.htm,2024-09-23,,,,,,,,,,,,,,
合成微生物工厂,微生物工程,研发阶段,华熙生物,https://www.21jingji.com/article/20240607/herald/bf4dc14e5fac76f427ba0c86aa1a2c7d.html,2024-09-23,,,,,,,,,,,,,,
人工合成细胞,人造生命,实验阶段,清华大学,https://baike.baidu.com/item/%E5%90%88%E6%88%90%E7%94%9F%E7%89%A9%E5%AD%A6/2219802,2024-09-23,,,,,,,,,,,,,,
生物燃料生产,能源技术,已实现产业化,清华大学,http://www.xml-data.org/KXYSH/html/1f9b9b68-7839-4192-b211-15bd794b41c5.htm,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境保护,已实现产业化,天津大学,https://www.tju.edu.cn,2024-09-23,,,,,,,,,,,,,,
深海智慧养殖系统,水产养殖,商业化应用,中国海洋大学,http://www.ouc.edu.cn,2024-09-23,,,,,,,,,,,,,,
生物降解材料开发,材料科学,研发阶段,北京大学,https://www.pku.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋能量转换技术,可再生能源,实验阶段,浙江大学,https://www.zju.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能监测海洋污染系统,环境监控,已实现产业化,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋气候变化模拟技术,气候科学,应用研究,复旦大学,https://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,机器人,已实现产业化,上海交通大学,http://www.sjtu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,生态工程,研发阶段,厦门大学,https://www.xmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
盐碱地生态恢复技术,农业科技,商业化应用,中国农业大学,http://www.cau.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋资源勘探技术,资源开发,应用阶段,哈尔滨工程大学,http://www.hrbeu.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋塑料回收技术,环境保护,已实现产业化,上海交通大学,http://www.sjtu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
深海渔业资源管理系统,信息技术,已实现产业化,国家海洋局,http://www.soa.gov.cn/,2024-09-23,,,,,,,,,,,,,,
智能海洋监测平台,数据分析,研发阶段,中国科学技术大学,https://www.ustc.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋可再生能源系统,能源技术,实验阶段,北京大学,http://www.pku.edu.cn/,2024-09-23,,,,,,,,,,,,,,
生物海洋监测技术,生态学,已实现产业化,南方科技大学,https://www.sustech.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海水淡化技术,水处理,已实现产业化,中国科学院海洋研究所,http://www.qdio.cas.cn/,2024-09-23,,,,,,,,,,,,,,
生物催化剂应用于海洋,生物技术,研发阶段,浙江大学,http://www.zju.edu.cn/,2024-09-23,,,,,,,,,,,,,,
水下机器人技术,机器人,已实现产业化,哈尔滨工业大学,http://www.hit.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋生态修复技术,环境科学,实验阶段,武汉大学,https://www.whu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋数据智能分析平台,人工智能,研发阶段,东南大学,https://www.seu.edu.cn/,2024-09-23,,,,,,,,,,,,,,
海洋废水处理技术,环境工程,已实现产业化,南方科技大学,https://www.sustech.edu.cn,2024-09-23,,,,,,,,,,,,,,
海洋温度调节系统,气候工程,研发阶段,中国气象局,http://www.cma.gov.cn,2024-09-23,,,,,,,,,,,,,,
深海采矿机器人,机器人技术,实验阶段,大连海事大学,http://www.dlmu.edu.cn,2024-09-23,,,,,,,,,,,,,,
潮汐能发电技术,可再生能源,已实现产业化,中国能源研究院,http://www.eri.org.cn,2024-09-23,,,,,,,,,,,,,,
海洋生物药物开发,生物医药,研发阶段,复旦大学,http://www.fudan.edu.cn,2024-09-23,,,,,,,,,,,,,,
智能渔业管理系统,信息技术,已实现产业化,华中科技大学,http://www.hust.edu.cn,2024-09-23,,,,,,,,,,,,,,
