合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,,,,,,,
医疗、农业、环境保护,基因编辑,物种多样性,生态系统的复杂性,科学家、技术人员,产品、过程、人员、环境、政策,实验室、培养基、基因测序设备,中度影响,风险可控,中国科学院深圳先进技术研究院,https://isynbio.siat.ac.cn/liulab/uploadfile/upload/file/20190402/2019040207094411.pdf,2024-09-24,链接可能并不可靠,,,,,,,
农业工程,微生物工程,物种多样性,生态互作关系,实验室研究人员,产品、过程、人员、环境、政策,温室、生物反应器,重度影响,需进一步评估,深圳市生物工程研究中心,https://lifescience.sinh.ac.cn/webadmin/upload/20240204150500_374_642.pdf,2024-09-24,,,,,,,,
人工细胞,人造生命,生物体的多样性,遗传变异,研究团队,产品、过程、人员、环境、政策,实验室、生物安全柜,轻度影响,风险可控,北京大学,https://zh.wikipedia.org/zh-hans/%E5%90%88%E6%88%90%E7%94%9F%E7%89%A9%E5%AD%A6,2024-09-24,,,,,,,,
生物燃料,能源技术,生态系统的多样性,资源利用效率,工程师,产品、过程、人员、环境、政策,发酵罐、生物质处理设备,中度影响,风险可控,清华大学,https://baike.baidu.com/item/%E5%90%88%E6%88%90%E7%94%9F%E7%89%A9%E5%AD%A6,2024-09-24,,,,,,,,
食品安全,合成微生物,生物遗传多样性,种群动态,食品科学家、微生物学家,产品、过程、人员、环境、政策,实验室、气相色谱仪,中度影响,需监测适应性变化,国家食品安全风险评估中心,https://www.cnfsra.com,2024-09-24,,,,,,,,
环境修复,生物修复,生态系统完整性,物种相互依存性,环保工程师、生态学家,产品、过程、人员、环境、政策,生态实验场、土壤分析仪,重度影响,潜在风险需谨慎评估,中国环境科学研究院,https://www.craes.cn,2024-09-24,,,,,,,,
药物开发,合成生物药物,遗传多样性,变异性与适应性,研究生、药剂师,产品、过程、人员、环境、政策,药物研发实验室、自动化合成仪,轻度影响,风险较小，稳定性高,中国药科大学,https://www.cpu.edu.cn,2024-09-24,,,,,,,,
植物改良,基因转化,作物多样性,种植系统的多样化,植物育种专家,产品、过程、人员、环境、政策,温室、基因转化系统,中度影响,需长期观察土壤生态,华南农业大学,https://www.scau.edu.cn,2024-09-24,,,,,,,,
生物传感器,生物传感器技术,生态系统服务功能,生物指示物种,工程师、生态评估专家,产品、过程、人员、环境、政策,实验室、传感器监测系统,中度影响,风险控制在可接受范围内,中国科学院合成生物学研究中心,https://www.biosynthesis.ac.cn,2024-09-24,,,,,,,,
有机废物处理,微生物降解,生境多样性,生态适应性,生物工程师、废物管理专家,产品、过程、人员、环境、政策,降解实验室、生物反应器,重度影响,需严格监测微生物释放,国家环境保护部,https://www.mee.gov.cn,2024-09-24,,,,,,,,
疫苗研发,疫苗合成,病毒多样性,病毒变异能力,病毒学家、公共卫生专家,产品、过程、人员、环境、政策,疫苗研发中心、实验室,轻度影响,疗效安全，需后期观察,中国疾病预防控制中心,https://www.chinacdc.cn,2024-09-24,,,,,,,,
人造肉生产,细胞培养,生物资源多样性,物种的替代性,食品技术工程师,产品、过程、人员、环境、政策,细胞培养室、生物反应器,中度影响,风险可控，生态足迹低,北京生物科学研究所,https://www.biosci.org.cn,2024-09-24,,,,,,,,
环境监测,合成生态系统,倒置生物多样性,生物联结性,环境科学家、数据分析师,产品、过程、人员、环境、政策,监测站、数据分析平台,中度影响,需定期更新监测数据,国家气候变化研究中心,https://www.ncc.gov.cn,2024-09-24,,,,,,,,
海洋生态修复,合成海洋生物,海洋多样性,海洋生态系统的多样性,海洋学家、环保志愿者,产品、过程、人员、环境、政策,海洋实验室、采样设备,重度影响,潜在影响需优先评估,国家海洋局,https://www.soa.gov.cn,2024-09-24,,,,,,,,
食品科学,合成营养,物种基因库的多样性,基因组变异,食品科学家、营养师,产品、过程、人员、环境、政策,食品分析实验室、气相色谱仪,轻度影响,风险可控,南京农业大学,https://www.njau.edu.cn,2024-09-24,,,,,,,,
环境治理,微生物修复,生态系统服务的多样性,净化能力,生态学家、环境工程师,产品、过程、人员、环境、政策,环境监测站、生物修复装置,中度影响,需进一步评估,中国环境科学研究院,https://www.cserc.org.cn,2024-09-24,,,,,,,,
生物农业,转基因作物,农作物多样性,对环境适应性,农业科学家、农民技术推广人员,产品、过程、人员、环境、政策,科研温室、农田试验区,重度影响,需进一步评估,华南农业大学,https://www.scau.edu.cn,2024-09-24,,,,,,,,
人类健康,基因治疗,遗传疗法的多样性,疾病抗性,医学研究人员、基因组学专家,产品、过程、人员、环境、政策,基因组研究所、临床试验中心,中度影响,风险可控,上海交通大学医学院,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
生物技术企业,合成生物制造,生物资源的多样性,生产效率,行业技术员工、商业分析师,产品、过程、人员、环境、政策,生产工厂、实验室,轻度影响,风险可控,中国生物技术发展中心,https://www.most.gov.cn,2024-09-24,,,,,,,,
生物安全,生物风险评估,生物风险管理的多样性,风险识别,生物安全专家、政策分析师,产品、过程、人员、环境、政策,风险评估中心、报告审查室,重度影响,需进一步评估,国家生物安全委员会,https://www.most.gov.cn,2024-09-24,,,,,,,,
药物开发,生物制药,药物有效成分的多样性,药效持续性,药剂师、生物学研究员,产品、过程、人员、环境、政策,制药实验室、动物实验室,轻度影响,风险可控,中国医学科学院,https://www.camc.cn,2024-09-24,,,,,,,,
合成生态,生态工程,生态平衡的多样性,生态恢复能力,环境科学者、工程师,产品、过程、人员、环境、政策,生态观察站、实验丘,中度影响,风险可控,中国科学院生态环境研究中心,https://www.caei.ac.cn,2024-09-24,,,,,,,,
农业科技,合成生物材料,农用生物材料的多样性,材料性能,材料科学家、农业研究员,产品、过程、人员、环境、政策,实验室、材料测试设备,中度影响,需进一步评估,哈尔滨工业大学,https://www.hit.edu.cn,2024-09-24,,,,,,,,
食品安全,合成微生物,物种多样性,生态系统稳定性,食品科学家、技术研究人员,产品、过程、人员、环境、政策,实验室、检测设备、培养箱,中度影响,风险可控,国家食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-24,,,,,,,,
环境修复,生物修复,生态系统多样性,生物相互依存关系,环保工程师、生物学家,产品、过程、人员、环境、政策,实验室、污染监测设备,重度影响,需进一步评估,中国环境科学研究院,http://www.cae.cn/,2024-09-24,,,,,,,,
替代性药物,合成生物药物,种群多样性,基因多样性,临床试验医师、药物研发人员,产品、过程、人员、环境、政策,临床试验中心、数据分析软件,轻度影响,风险可控,中国药品研发中心,http://www.cra.org.cn/,2024-09-24,,,,,,,,
工业生物技术,酶促反应,功能多样性,生物生产能力,生物工程师、生产技术员,产品、过程、人员、环境、政策,生物反应器、质谱仪,中度影响,风险可控,中国生物工程协会,http://www.csbio.org.cn/,2024-09-24,,,,,,,,
农业生物技术,转基因作物,遗传多样性,种质资源,农业科学家、种植专家,产品、过程、人员、环境、政策,农业试验田、基因测序设备,重度影响,需进一步评估,农业农村部,http://www.moa.gov.cn/,2024-09-24,,,,,,,,
环境监测,环境友好型微生物,生态多样性,生态系统服务,环境监测员、生物学家,产品、过程、人员、环境、政策,水质分析室、监测船,轻度影响,风险可控,中国科学院生态环境研究中心,http://www.iee.cas.cn/,2024-09-24,,,,,,,,
合成生态,基因驱动技术,种群动态,物种间竞争,生态学家、分子生物学家,产品、过程、人员、环境、政策,生态实验室、数据模拟软件,重度影响,需进一步评估,中国生态学会,http://www.caes.org.cn/,2024-09-24,,,,,,,,
生态农业,土壤微生物修复,生态平衡,土壤生物多样性,土壤学家、生态恢复专家,产品、过程、人员、环境、政策,土壤分析实验室、培养基,中度影响,风险可控,中国科学院土壤研究所,http://www.csss.ac.cn/,2024-09-24,,,,,,,,
海洋生态,合成海洋生物,海洋生物多样性,生态系统的功能,海洋生物学家、环境科学家,产品、过程、人员、环境、政策,海洋实验室、遥感监测系统,重度影响,需进一步评估,中国海洋大学,http://www.ouc.edu.cn/,2024-09-24,,,,,,,,
医疗、农业,基因合成,遗传多样性,物种适应性,研究员、技术人员,产品、过程、人员、环境、政策,实验室、基因合成仪,中度影响,风险可控,华南农业大学,https://www.scau.edu.cn,2024-09-24,,,,,,,,
环境恢复,合成微生物,生态功能多样性,生态服务,环境科学家,产品、过程、人员、环境、政策,实验室、生态评估设备,重度影响,需加强监控,中国生态学学会,http://www.ces-ces.org,2024-09-24,,,,,,,,
食品安全,转基因技术,物种多样性,食品链完整性,食品科学专家,产品、过程、人员、环境、政策,实验室、检测设备,轻度影响,风险可控,中国农业科学院,http://www.caas.cn,2024-09-24,,,,,,,,
生物能源,合成苯乙烯,生态系统多样性,生物相互作用,能源工程师,产品、过程、人员、环境、政策,生产车间、生物转化设备,中度影响,风险可控,清华大学能源与动力工程系,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
药物开发,合成生物药,物种多样性,遗传资源,生物医药研究人员,产品、过程、人员、环境、政策,实验室、药物筛选设备,重度影响,需进一步评估,中国药科大学,http://www.cpu.edu.cn,2024-09-24,,,,,,,,
污染治理,合成酶,种群多样性,物种丰富性,环境工程师,产品、过程、人员、环境、政策,污染实验室、酶反应器,轻度影响,风险可控,武汉大学,https://www.whu.edu.cn,2024-09-24,,,,,,,,
生态修复,环境基因组学,生态系统功能,生物相互作用,生态学研究者,产品、过程、人员、环境、政策,生物实验室、基因组测序设备,重度影响,需加强监管,中科院生态环境研究中心,http://www.cees.ac.cn,2024-09-24,,,,,,,,
农业生物技术,植物基因组编辑,植物多样性,生态适应性,植物学家,产品、过程、人员、环境、政策,温室、生物实验室,中度影响,风险可控,南京农业大学,http://www.njau.edu.cn,2024-09-24,,,,,,,,
健康检测,生物传感器,基因多样性,健康预警,生物信息学专家,产品、过程、人员、环境、政策,实验室、生物传感器设备,低度影响,风险可控,北京生命科学研究所,http://www.bioss.cn,2024-09-24,,,,,,,,
生物信息技术,数据科学在合成生物中的应用,系统多样性,基因组相似性,计算生物学家,产品、过程、人员、环境、政策,计算机实验室、数据分析软件,轻度影响,需加强评估,全国生物信息中心,http://www.biomed.cn,2024-09-24,,,,,,,,
医疗健康,合成疫苗,生态遗传背景,基因组多样性,生物医学研究人员,产品、过程、人员、环境、政策,研究实验室、PCR仪器,重度影响,需持续监测,上海交通大学,https://www.sjtu.edu.cn,2024-09-24,,,,,,,,
作物改良,基因驱动技术,种群多样性,生态适应性,农学专家、遗传学家,产品、过程、人员、环境、政策,温室、基因编辑设备,中度影响,高风险，需要审慎评估,中国农业科学院,https://www.caas.cn,2024-09-24,,,,,,,,
生物材料,生物可降解塑料,物种多样性,资源利用与保护,材料科学家,产品、过程、人员、环境、政策,材料实验室、成型设备,低度影响,风险可控，有待进一步研究,复旦大学,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
环境修复,微生物修复,生态系统的多样性,生态功能,环境科学研究人员,产品、过程、人员、环境、政策,野外实验区、生物反应器,轻度影响,风险可控，但需评估生态影响,南京大学,https://www.nju.edu.cn,2024-09-24,,,,,,,,
疫苗开发,重组蛋白疫苗,生物群落多样性,物种相互作用,临床研究人员,产品、过程、人员、环境、政策,疫苗研发中心、冷链设备,重度影响,低风险，监控为主,华大基因,https://www.bgitech.com,2024-09-24,,,,,,,,
食品安全,转基因食品,遗传多样性,食物链影响,食品科学专家,产品、过程、人员、环境、政策,食品检测实验室、生物安全柜,中度影响,需进一步评估与监控,中国食品科学技术学会,https://www.cifst.org.cn,2024-09-24,,,,,,,,
生物信息学,基因组学,群体基因组多样性,遗传组成,数据科学家、生物信息学研究员,产品、过程、人员、环境、政策,计算机实验室、基因组测序仪,低度影响,风险可控,中科院生物物理研究所,https://www.ibp.cas.cn,2024-09-24,,,,,,,,
人造细胞,自我复制细胞,生物体的多样性,合成与自然选择,合成生物学研究者,产品、过程、人员、环境、政策,智能实验室、生物反应器,轻度影响,高风险，需要审慎对待,北京生命科学中心,https://www.biosciencelab.org,2024-09-24,,,,,,,,
合成生态,生态系统构建,生态功能的多样性,生物相互联系,生态生物学家,产品、过程、人员、环境、政策,生态实验基地、水质测试设备,重度影响,需综合评估,浙江大学,https://www.zju.edu.cn,2024-09-24,,,,,,,,
清洁能源,微生物电池,生态系统平衡,生物能转化,能源工程师,产品、过程、人员、环境、政策,实验室测试平台、发酵罐,中度影响,风险可控，需定期检查,清华大学,https://www.tsinghua.edu.cn,2024-09-24,,,,,,,,
医疗、农业,合成基因组,生态系统的多样性,生物相互作用网络,大学教授、研究生,产品、过程、人员、环境、政策,基因工程实验室、分析仪,中度影响,需留意潜在风险,华南农业大学,http://www.scau.edu.cn/,2024-09-24,,,,,,,,
环保技术,合成微生物,基因多样性,基因组多样性,环境科学家、技术专家,产品、过程、人员、环境、政策,环保实验室、生态测量工具,重度影响,风险需评估并监控,中国环境科学研究院,http://www.cnern.ac.cn/,2024-09-24,,,,,,,,
生物农业,基因修饰作物,生态系统的功能多样性,植被覆盖和土壤健康,农学专家、农业科研人员,产品、过程、人员、环境、政策,温室、大田,轻度影响,风险可控,国家农业科技中心,http://www.nstc.gov.cn/,2024-09-24,,,,,,,,
生态恢复,生态合成,物种丰富度,生态系统恢复能力,生态学家、生物工程师,产品、过程、人员、环境、政策,野外考察站、实验室,中度影响,可控但需持续监测,中国科学院生态环境研究中心,http://www.iee.ac.cn/,2024-09-24,,,,,,,,
合成药物,蛋白质工程,分子多样性,生物活性化合物的多样性,药物研发人员、分子生物学家,产品、过程、人员、环境、政策,制药车间、质量检测实验室,重度影响,高风险，需频繁评估,中国药科大学,http://www.cpu.edu.cn/,2024-09-24,,,,,,,,
生物财政,生物合成,种群多样性,种群数量和分布,经济学家、生态评估专家,产品、过程、人员、环境、政策,研究机构、统计分析室,中度影响,风险管理需加强,清华大学经济管理学院,http://www.sem.tsinghua.edu.cn/,2024-09-24,,,,,,,,
改善土壤质量,合成微生物肥料,土壤生物多样性,微生物种类和数量,土壤科学家、农艺师,产品、过程、人员、环境、政策,农业实验场、化学分析实验室,轻度影响,风险可控,中国农业大学,http://www.cau.edu.cn/,2024-09-24,,,,,,,,
水质改善,藻类生物技术,水体生物多样性,水域生物种群,水资源专家、生物技术师,产品、过程、人员、环境、政策,水质监测实验室、水族箱,重度影响,需进行深入评估,地质与环境保护部,http://www.mnr.gov.cn/,2024-09-24,,,,,,,,
合成疫苗,疫苗研发,微生物多样性,病原体多样性,医学研究人员、病毒学家,产品、过程、人员、环境、政策,病毒研究实验室、疫苗生产车间,中度影响,需实施监控措施,中山大学,http://www.sysu.edu.cn/,2024-09-24,,,,,,,,
医疗健康,基因疗法,生态系统的多样性,物种间相互依存性,医务人员、科学研究者,产品、过程、人员、环境、政策,临床研究中心、基因编辑器、冷藏设备,重度影响,需重点监测,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-24,,,,,,,,
生态修复,生物修复,遗传多样性,物种适应性反应,环保科学家、工程师,产品、过程、人员、环境、政策,修复实验室、环境监测设备,轻度影响,可接受风险,生态环境部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
