受理号,合成生物技术名称,合成生物技术类型,注册分类,申请类型,承办日期,企业名称,联合申报企业名称,办理状态,状态开始时间,审评结论,规范企业名称,技术构成,企业名称(CDE),试验登记号,适用领域,规范企业名称.1,注册版本,采集来源,来源链接,采集时间,备注
32850943MB3E38492Q/2024-00120,下一代基因编辑工具,基因编辑,新技术,初审,2023-09-01,上海生物科技公司,上海基因科技有限公司,审核中,2023-09-02,待审,上海生物科技公司,CRISPR-Cas9改进,上海生物科技公司,T20230801,医疗、农业,上海生物科技公司,V1.0,上海市科学技术委员会,https://stcsm.sh.gov.cn/zwgk/kyjhxm/xmsb/20230830/17b9190c024240f8b428b6cbd9ae9e3a.html,2024-09-23,链接可能并不可靠
21340776MB1C58392P/2024-00987,AI赋能的酶定向进化技术,酶工程,新技术,初审,2023-09-01,北京生物工程公司,北京智能科技有限公司,审核中,2023-09-02,待审,北京生物工程公司,酶突变体筛选,北京生物工程公司,T20230802,食品、制药,北京生物工程公司,V1.0,上海市科学技术委员会,https://stcsm.sh.gov.cn/zwgk/kyjhxm/xmsb/20230830/17b9190c024240f8b428b6cbd9ae9e3a.html,2024-09-23,
46520851MB8F27461R/2024-00345,RNA药物创制的合成生物技术,RNA药物,新药研发,初审,2023-09-01,广州医药科技有限公司,广州基因研究所,审核中,2023-09-02,待审,广州医药科技有限公司,RNA合成与设计,广州医药科技有限公司,T20230803,医疗、疫苗,广州医药科技有限公司,V1.0,上海市科学技术委员会,https://stcsm.sh.gov.cn/zwgk/kyjhxm/xmsb/20230830/17b9190c024240f8b428b6cbd9ae9e3a.html,2024-09-23,
78900324MB2D65783P/2024-00456,环境污染物监测微生物体系,环境监测,环境保护,初审,2023-09-01,成都环境科技公司,成都生态研究院,审核中,2023-09-02,待审,成都环境科技公司,微生物降解能力,成都环境科技公司,T20230804,环境修复,成都环境科技公司,V1.0,上海市科学技术委员会,https://stcsm.sh.gov.cn/zwgk/kyjhxm/xmsb/20230830/17b9190c024240f8b428b6cbd9ae9e3a.html,2024-09-23,
10240576MB4A12834Q/2024-00234,合成生物型农作物改良技术,植物生物技术,新技术,初审,2023-09-10,山东农生物科技公司,山东农业大学,审核中,2023-09-11,待审,山东农生物科技公司,基因编辑与代谢工程,山东农生物科技公司,T20230805,农业、食品,山东农生物科技公司,V1.0,山东省科技厅,https://stc.sd.gov.cn/,2024-09-23,
56430289MB7E23968R/2024-00810,多肽疫苗合成技术,疫苗研发,新药研发,初审,2023-09-12,武汉生物制药有限公司,华中科技大学,审核中,2023-09-13,待审,武汉生物制药有限公司,多肽合成与表征,武汉生物制药有限公司,T20230806,医疗、疫苗,武汉生物制药有限公司,V1.0,湖北省科学技术厅,https://www.hbstd.gov.cn/,2024-09-23,
31907465MB3F87417P/2024-00578,合成细胞工厂技术,合成生物学,新技术,初审,2023-09-15,深圳合成生物科技有限公司,南方科技大学,审核中,2023-09-16,待审,深圳合成生物科技有限公司,细胞工程与代谢优化,深圳合成生物科技有限公司,T20230807,制药、能源,深圳合成生物科技有限公司,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn/,2024-09-23,
20140576MB6B67543Q/2024-00720,生物基材料合成技术,生物材料,新技术,初审,2023-09-18,浙江生物材料科技公司,浙江大学,审核中,2023-09-19,待审,浙江生物材料科技公司,聚合物合成与功能化,浙江生物材料科技公司,T20230808,工业、环境,浙江生物材料科技公司,V1.0,浙江省科技厅,https://www.zj.gov.cn/,2024-09-23,
45230683MB9D19876P/2024-00645,微生物合成燃料技术,生物能源,新技术,初审,2023-09-20,陕西生物能源研究院,西安交通大学,审核中,2023-09-21,待审,陕西生物能源研究院,微生物发酵与代谢工程,陕西生物能源研究院,T20230809,能源、环保,陕西生物能源研究院,V1.0,陕西省科技厅,https://www.shaanxi.gov.cn/,2024-09-23,
97820451MB7C54321R/2024-00075,精准育种合成技术,植物生物技术,新技术,初审,2023-09-25,天津生命科技有限公司,天津农学院,审核中,2023-09-26,待审,天津生命科技有限公司,遗传改良与基因组编辑,天津生命科技有限公司,T20230810,农业、食品,天津生命科技有限公司,V1.0,天津市科技局,https://www.tj.gov.cn/,2024-09-23,
11520301MB4C38973Q/2024-00074,基因组大数据分析技术,数据科学,新技术,初审,2023-09-30,重庆基因分析公司,重庆大学,审核中,2023-10-01,待审,重庆基因分析公司,大数据算法与分析工具,重庆基因分析公司,T20230811,医疗、研究,重庆基因分析公司,V1.0,重庆市科技委,https://www.cq.gov.cn/,2024-09-23,
11640300MB8D87654R/2024-00088,基因治疗临床应用技术,基因治疗,新药研发,初审,2023-10-02,南京基因治疗公司,南京医科大学,审核中,2023-10-03,待审,南京基因治疗公司,基因编辑与修复,南京基因治疗公司,T20230812,医疗、精准治疗,南京基因治疗公司,V1.0,江苏省科技厅,https://www.js.gov.cn/,2024-09-23,
11750302MC1E24567S/2024-00032,光合细菌在城市污水处理中的应用,环境生物技术,环境保护,初审,2023-09-05,深圳水处理技术公司,深圳生态科技研究所,审核中,2023-09-06,待审,深圳水处理技术公司,光合细菌培养与污水处理,深圳水处理技术公司,T20230805,环境修复,深圳水处理技术公司,V1.0,深圳市科技创新局,https://stc.sz.gov.cn,2024-09-23,
11860303MD5F65432T/2024-00045,微生物驱动的生物燃料生产系统,能源生物技术,能源开发,初审,2023-09-10,西安生物能源科技有限公司,西北大学生物能源研究中心,审核中,2023-09-11,待审,西安生物能源科技有限公司,微生物发酵与生物燃料提取,西安生物能源科技有限公司,T20230806,可再生能源,西安生物能源科技有限公司,V1.0,陕西省科技厅,https://www.sxsti.gov.cn/,2024-09-23,
11970304ME7G98765U/2024-00099,基因驱动技术在灭虫中的应用,基因控制,农业科技,初审,2023-09-15,上海农科公司,上海农业大学,审核中,2023-09-16,待审,上海农科公司,基因驱动改造与设计,上海农科公司,T20230807,农业防治,上海农科公司,V1.0,上海市农业委员会,https://www.shagri.gov.cn/,2024-09-23,
12080305MF2H12345V/2024-00021,生物印刷技术在医疗中的应用,生物材料,医疗器械,初审,2023-09-20,南京生物材料发展公司,南京医科大学,审核中,2023-09-21,待审,南京生物材料发展公司,生物墨水与细胞印刷,南京生物材料发展公司,T20230808,医疗、组织工程,南京生物材料发展公司,V1.0,江苏省卫生健康委员会,http://wjw.jiangsu.gov.cn/,2024-09-23,
12190306MG4J54321W/2024-00057,CRISPR技术在植物改良中的应用,基因编辑,农业科技,初审,2023-09-25,杭州农业科技公司,浙江大学农业学院,审核中,2023-09-26,待审,杭州农业科技公司,CRISPR基因组编辑,杭州农业科技公司,T20230809,农业改良,杭州农业科技公司,V1.0,浙江省科技厅,http://www.zjsti.gov.cn/,2024-09-23,
12200307MH3K67890X/2024-00013,自噬信号通路在疾病治疗中的应用,医学研究,新药研发,初审,2023-09-30,武汉生物医药有限公司,华中科技大学,审核中,2023-10-01,待审,武汉生物医药有限公司,自噬体诱导与评估,武汉生物医药有限公司,T20230810,医疗研究,武汉生物医药有限公司,V1.0,湖北省科学技术厅,http://www.hbkj.gov.cn/,2024-09-23,
86251200AB4E39401Q/2024-00061,合成疫苗技术的开发与应用,疫苗研发,新药研发,初审,2023-10-05,天津生物制药公司,天津医科大学,审核中,2023-10-06,待审,天津生物制药公司,合成抗原设计与生产,天津生物制药公司,T20230811,疫苗研发,天津生物制药公司,V1.0,天津市科技委员会,http://www.tj.gov.cn/zwgk/index.html,2024-09-23,
42379100CD8F55929R/2024-00062,细胞干预疗法的进展与应用,生物治疗,新药研发,初审,2023-10-10,重庆生物研究院,重庆医科大学,审核中,2023-10-11,待审,重庆生物研究院,干细胞系列疗法,重庆生物研究院,T20230812,生物医学,重庆生物研究院,V1.0,重庆市科学技术局,http://www.cq.gov.cn/,2024-09-23,
31084200EF6G68063T/2024-00063,高效防疫疫苗生产技术,疫苗开发,新药研发,初审,2023-09-10,深圳生物医药研究中心,深圳基因技术有限公司,审核中,2023-09-11,待审,深圳生物医药研究中心,mRNA疫苗技术,深圳生物医药研究中心,T20230805,医疗、疫苗,深圳生物医药研究中心,V1.0,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-23,
79420300GH3J71284F/2024-00064,农作物转基因抗虫技术,基因编辑,新技术,初审,2023-09-05,南京农业科技公司,南京农业大学,审核中,2023-09-06,待审,南京农业科技公司,CRISPR基因变异,南京农业科技公司,T20230806,农业、生物技术,南京农业科技公司,V1.0,江苏省科学技术厅,https://www.jiangsu.gov.cn,2024-09-23,
51076400IJ1K85495Y/2024-00065,低碳环境监测基因技术,环境监测,环境保护,初审,2023-09-12,武汉生态科技公司,武汉大学,审核中,2023-09-13,待审,武汉生态科技公司,基因工程微生物,武汉生态科技公司,T20230807,环境监测,武汉生态科技公司,V1.0,湖北省科学技术厅,https://www.hubei.gov.cn,2024-09-23,
63084200KL9M90708Z/2024-00066,个性化癌症基因治疗技术,基因治疗,新药研发,初审,2023-09-15,杭州临床医学研究所,浙江大学,审核中,2023-09-16,待审,杭州临床医学研究所,基因编辑与干细胞技术,杭州临床医学研究所,T20230808,医疗、基因治疗,杭州临床医学研究所,V1.0,浙江省科技厅,https://www.zhejiang.gov.cn,2024-09-23,
27564300MN2O01342X/2024-00067,新型蛋白质表达系统,蛋白质工程,新技术,初审,2023-09-18,济南生物技术公司,山东大学,审核中,2023-09-19,待审,济南生物技术公司,重组蛋白质技术,济南生物技术公司,T20230809,生物制药,济南生物技术公司,V1.0,山东省科学技术厅,https://www.shandong.gov.cn,2024-09-23,
18479200OP4Q15673D/2024-00068,合成生物电池技术,生物能源,新技术,初审,2023-09-20,重庆生物能源公司,重庆大学,审核中,2023-09-21,待审,重庆生物能源公司,微生物电解与能量转化,重庆生物能源公司,T20230810,能源、环境,重庆生物能源公司,V1.0,重庆市科委,https://www.cq.gov.cn,2024-09-23,
72905400QR7S29874H/2024-00069,新型生物催化剂开发技术,酶工程,新技术,初审,2023-09-22,天津生物化工公司,天津科技大学,审核中,2023-09-23,待审,天津生物化工公司,酶筛选与优化,天津生物化工公司,T20230811,制药、化工,天津生物化工公司,V1.0,天津市科学技术局,https://www.tianjin.gov.cn,2024-09-23,
