登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610015 号,DB52/T 2032-2021,Hyperledger Fabric,企业级区块链,正在进行,第一阶段,功能测试,中国电子技术标准化研究院,中国信息通信研究院,2023-01-10,2023-02-01,2023-12-31,2024-01-10,中国信息通信研究院,新技术标准,中国信息通信研究院,http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1578-2020,Corda,企业级区块链,已完成,第二阶段,性能测试,R3,北京大学,2023-02-15,2023-03-01,2023-09-30,2023-10-01,北京大学,技术评估,国家标准化管理委员会,https://www.gov.cn/zhengce/zhengceku/202401/P020240112840724196854.pdf,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1890-2018,Ethereum,公有区块链,正在进行,第三阶段,安全测试,ConsenSys,清华大学,2023-03-20,2023-04-01,2024-03-31,2024-04-01,清华大学,安全审计,中国信息通信研究院,http://www.cesi.cn/images/editor/20220705/20220705140936687002.pdf,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 2144-2022,Solana,公有区块链,正在进行,第一阶段,功能测试,Solana Foundation,上海交通大学,2023-04-25,2023-05-01,2024-05-01,2024-05-02,上海交通大学,技术验证,InfoComm Journal,https://zh.wikipedia.org/zh-sg/%E5%8C%BA%E5%9D%97%E9%93%BE,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1462-2019,自我修正区块链,Tezos,已完成,第二阶段,性能测试,Tezos Foundation,北京理工大学,2023-05-10,2023-06-01,2024-06-30,2024-07-01,北京理工大学, 系统审计,中国电子技术标准化研究院,http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-28,,,,
"京网信备 11010119124326610015 号,京网信备 11010119124326610016 号,京网信备 11010119124326610017 号,京网信备 11010119124326610018 号,京网信备 11010119124326610019 号,京网信备 11010119124326610020 号,京网信备 11010119124326610021 号,京网信备 11010119124326610022 号,京网信备 11010119124326610023 号,京网信备 11010119124326610024 号",DB52/T 1725-2023,Ripple,公有区块链,已完成,第一阶段,技术验证,Ripple Labs,武汉大学,2023-06-01,2023-06-15,2023-10-15,2023-10-16,武汉大学,技术创新,中国金融科技发展研究院,https://www.people.com.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1589-2021,Cardano,公有区块链,正在进行,第二阶段,性能测试,IOHK,复旦大学,2023-07-05,2023-07-20,2024-01-01,2024-01-02,复旦大学,系统集成,国家标准化管理委员会,https://www.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1763-2020,Polkadot,公有区块链,待审核,第一阶段,安全审计,Web3 Foundation,哈尔滨工业大学,2023-08-10,2023-09-01,2024-03-10,2024-03-11,哈尔滨工业大学,安全审计,互联网金融新闻,https://www.ifeng.com/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1847-2018,Chainlink,公有区块链,正在进行,第三阶段,应用测试,Chainlink Labs,南开大学,2023-09-15,2023-09-30,2024-04-30,2024-04-01,南开大学,产品测试,科技创新网,http://www.sohu.com/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1654-2021,Polygon,联盟链,已完成,第二阶段,功能测试,Polygon Technology,中山大学,2023-10-05,2023-10-15,2024-01-25,2024-01-26,中山大学,系统优化,深圳科技论坛,http://www.sznews.com/,2024-09-28,,,,
