受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
"湘网信备43010523602946870014号,粤网信备44030423605895170023号,沪网信备31010123608574280019号,豫网信备41010523607246230027号,川网信备51010423601478950011号,晋网信备14010523604203460030号,湘网信备43030223603785140022号,云网信备53010223604597860015号",Hyperledger Fabric,企业级区块链,功能测试,企业级区块链,2023-01-10,华药集团有限公司,重庆制药中国有限公司,正在办理,2023-01-15,合格,中国电子技术标准化研究院,模块化架构,20230101,金融,金融服务,企业级区块链,V1.0,去中心化、可扩展性,中国信息通信研究院,http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-28,
皖网信备34020223876543210001号,Corda,企业级区块链,性能测试,企业级区块链,2023-02-15,中信药业股份有限公司,重庆医药研究院,已完成,2023-03-01,合格,R3,私有账本,20230102,金融,金融交易,企业级区块链,V1.0,隐私性、效率高,国家标准化管理委员会,https://www.gov.cn/zhengce/zhengceku/202401/P020240112840724196854.pdf,2024-09-28,
京网信备11010523876543210002号,Ethereum,公有区块链,安全审计,公有区块链,2023-03-20,上海瑞金药业有限公司,重庆医学研究中心,正在办理,2023-04-01,待审查,ConsenSys,去中心化应用,20230103,游戏,去中心化应用,公有区块链,V1.0,可编程性、高透明度,中国信息通信研究院,http://www.cesi.cn/images/editor/20220705/20220705140936687002.pdf,2024-09-28,
浙网信备33010623456789010003号,Solana,公有区块链,功能测试,公有区块链,2023-04-25,江苏恒瑞医药股份有限公司,重庆金辉科技股份有限公司,正在办理,2023-05-01,待审查,Solana Foundation,高速账本,20230104,游戏,游戏应用 ,公有区块链, V1.0,高速、低成本,InfoComm Journal ,https://zh.wikipedia.org/zh-sg/%E5%8C%BA%E5%9D%97%E9%93%BE,2024-09-28,
粤网信备44010623987654310004号,Tezos,自我修正区块链, 系统审计,自我修正区块链,2023-05-10,成都生物制药公司,重庆大江药业有限公司,已完成,2023-06-01,合格,Tezos Foundation, 自我修正,20230105, 金融, 金融服务,自我修正区块链, V1.0,自我治理、高安全性 ,中国电子技术标准化研究院, http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-28,
苏网信备32010623123456710005号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-15,广州白云山制药集团有限公司,重庆白求恩药品有限公司,正在办理,2023-06-20,待审查,Avalanche Foundation,多链架构,20230106,物流,供应链管理,公有区块链,V1.0,快速确认、多功能性,中国产业互联网发展协会,https://www.cnii.com.cn/,2024-09-28,
齐网信备37020223654321010006号,Cardano,公有区块链,安全审计,公有区块链,2023-07-01,北京天坛生物制品股份有限公司,众诚生物制药,已完成,2023-07-05,合格,IOHK,智能合约平台,20230107,保险,风险管理,公有区块链,V1.1,可编程性、安全性,国际区块链协会,https://www.ibc.org/,2024-09-28,
冀网信备13010623567891010007号,Polygon,公有区块链,功能测试,公有区块链,2023-07-15,浙江医药股份有限公司,中药现代化研究院,正在办理,2023-07-20,待审查,Polygon Studios,质押链,20230108,交通,智能交通系统,公有区块链,V1.0,高效率、跨链兼容,中国通信产业总公司,http://www.china-telecom.com.cn/,2024-09-28,
湘网信备43010423234567810008号,EOSIO,公有区块链,性能测试,公有区块链,2023-08-05,天津长春生物制品有限公司,中信医药集团,已完成,2023-08-10,合格,Block.one,去中心化操作系统,20230109,旅游,旅游服务,公有区块链,V1.0,高扩展性、易用性,世界区块链大会,https://www.worldblockchainconference.org/,2024-09-28,
陕网信备61010423098765410009号,Hedera Hashgraph,公有区块链,功能测试,公有区块链,2023-09-01,山东齐鲁制药有限公司,中信药业股份有限公司,正在办理,2023-09-05,待审查,Hedera Hashgraph LLC,有向无环图,20230110,供应链,合同管理,公有区块链,V1.2,高速、低成本,中国区块链技术促进会,http://www.cbtca.org/,2024-09-28,
鲁网信备37080323987654310010号,NEO,公有区块链,安全审计,公有区块链,2023-09-10,北京华药制药有限公司,中生制药有限公司,已完成,2023-09-15,合格,NEO Global Development,智能经济,20230111,文化,数字版权,公有区块链,V1.0,低费用、高速教材,中国数字文化产业协会,https://www.dca.edu.cn/,2024-09-28,
皖网信备34020223603146870013号,Algorand,公有区块链,系统审计,公有区块链,2023-09-25,上海药品研发有限公司,中瑞药业股份有限公司,正在办理,2023-09-30,待审查,Algorand Foundation,无许可链,20230112,电子商务,在线支付,公有区块链,V1.0,安全、快速结算,国家信息中心,http://www.sic.gov.cn/,2024-09-28,
京网信备11010523289175130015号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-20,广州生物医药科技公司,中科院生物物理研究所,正在办理,2023-06-28,待审查,Avalanche Foundation,多链架构,20230106,旅游,旅游服务,公有区块链,V1.0,高吞吐量、低延迟,中国信息通信研究院,http://www.caict.ac.cn/,2024-09-28,
苏网信备32010345678901230016号,Polkadot,混合区块链,安全审计,混合区块链,2023-07-01,深圳市快药科技有限公司,中科院生物物理研究所,已完成,2023-07-07,合格,Polkadot Foundation,平行链架构,20230107,物流,供应链管理,混合区块链,V1.0,可互操作性、跨链通信,国家标准化管理委员会,https://www.sac.gov.cn/,2024-09-28,
粤网信备44010398765432140017号,Cardano,公有区块链,技术评估,公有区块链,2023-07-15,成都创新药物研究所,中科院生物物理研究所,正在办理,2023-07-20,待审查,IOHK,权益证明链,20230108,教育,学分管理,公有区块链,V1.0,可持续性、安全性,新经济研究院,http://www.nber.org/,2024-09-28,
浙网信备33010456789012350018号,Tezos,自我修正区块链,合规审查,自我修正区块链,2023-08-05,天津市药品开发公司,中科院生物物理研究所,已完成,2023-08-10,合格,Tezos Foundation,自我治理结构,20230109,交通,交通管理,自我修正区块链,V1.0,高安全性、可升级性,区块链信息中心,https://www.btcnews.com/,2024-09-28,
鄂网信备42010613579246860019号,EOS,公有区块链,系统测试,公有区块链,2023-08-15,重庆医学研究中心,中科院生物物理研究所,正在办理,2023-08-22,待审查,Block.one,智能合约平台,20230110,供应链,物流追踪,公有区块链,V1.0,高效能、低交易费用,全球区块链联盟,https://www.galaxyblockchain.org/,2024-09-28,
桂网信备45010324680135780020号,Algorand,公有区块链,性能测试,公有区块链,2023-06-05,南京医药产业发展有限公司,中科药业有限公司,正在办理,2023-06-10,待审查,Algorand Foundation,快速结算,20230106,物流,供应链管理,公有区块链,V1.0,高效率、灵活性,区块链协会, http://www.caict.ac.cn/kxyj/qwfb/ztbg/202401/P020240109608426916949.pdf,2024-09-28,
川网信备51010436257901390021号,EOSIO,公有区块链,功能测试,公有区块链,2023-07-15,厦门临床试验中心,中科药业集团,已完成,2023-07-20,合格,Block.one,高度可扩展架构,20230107,传媒,内容分发,公有区块链,V1.0,易用性、开发友好,全国区块链信息平台,https://www.cnii.com.cn/,2024-09-28,
晋网信备14010513572468010022号,Cardano,公有区块链,系统审计,公有区块链,2023-07-30,武汉药业集团有限公司,中国药科大学,正在办理,2023-08-01,待审查,IOHK,证明股权机制,20230108,教育,去中心化教育系统,公有区块链,V1.0,系统安全性、可验证性,教育部创新办,https://www.ibc.org/,2024-09-28,
沪网信备31010478561234560023号,Polkadot,公有区块链,性能测试,公有区块链,2023-08-10,恒瑞医药股份有限公司,中国生物制药有限公司,已完成,2023-08-15,合格,Web3 Foundation,跨链技术,20230109,供应链,资产追踪,公有区块链,V1.0,互操作性、高安全性,区块链技术标准化研究院,http://www.china-telecom.com.cn/,2024-09-28,
