标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
GB 2762-2017,食品中污染物限量标准,2017-12-29,2018-06-01,2017-001,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,深圳市市场监督管理局,https://www.kwm.com/cn/zh/insights/latest-thinking/food-standards-and-practice-in-china.html,2024-09-29,,,,,,,
GB 2760-2014,食品添加剂使用标准,2014-12-30,2015-06-01,2014-002,强制性标准,食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,深圳市市场监督管理局,https://www.kwm.com/cn/zh/insights/latest-thinking/food-standards-and-practice-in-china.html,2024-09-29,,,,,,,
GB 7718-2011,食品标签通则,2011-12-30,2012-05-01,2011-003,强制性标准,食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,深圳市市场监督管理局,https://www.kwm.com/cn/zh/insights/latest-thinking/food-standards-and-practice-in-china.html,2024-09-29,,,,,,,
DB S64/001-2022,地方食品安全标准：枸杞,2022-03-15,2022-09-01,DB-S64-001,地方标准,宁夏回族自治区食品生产、销售,地方食品安全标准,宁夏回族自治区卫健委,地方食品安全法,深圳市市场监督管理局,https://www.kwm.com/cn/zh/insights/latest-thinking/food-standards-and-practice-in-china.html,2024-09-29,,,,,,,
T/CFAA 0002-2021,食品配料分类标准,2021-05-10,2021-11-01,T-CFAA-0002,团体标准,全国范围内食品生产企业,食品配料分类标准,中国食品添加剂和配料协会,团体标准制定办法,深圳市市场监督管理局,https://www.kwm.com/cn/zh/insights/latest-thinking/food-standards-and-practice-in-china.html,2024-09-29,,,,,,,
GB 18406-2023,有机食品生产标准,2023-05-01,2023-08-01,2023-004,强制性标准,全国范围内有机食品生产,食品安全标准,国家市场监督管理总局,有机产品认证管理办法,国家有机食品认证中心,http://www.iatp.org.cn/,2024-09-29,,,,,,,
T/CGIA 0010-2022,食品冷链运输标准,2022-11-10,2023-02-01,T-CGIA-0010,团体标准,全国食品运输企业,食品安全标准,中国冷链物流协会,团体标准制定办法,食品物流网,http://www.foodlogistics.com/,2024-09-29,,,,,,,
DB S60/002-2023,地方食品安全标准：辣椒,2023-03-20,2023-09-01,DB-S60-002,地方标准,山东省食品生产、销售,地方食品安全标准,山东省市场监督管理局,地方食品安全法,山东省市场监督管理局,http://www.sdsms.gov.cn/,2024-09-29,,,,,,,
GB 31604-2022,食品接触材料安全标准,2022-07-15,2023-01-01,2022-005,强制性标准,食品生产、餐饮业,食品安全标准,国家市场监督管理总局,食品接触材料管理办法,中国食品科技网,http://www.cnfoodnet.com/,2024-09-29,,,,,,,
GB 2762-2020,食品中污染物限量标准修订版,2020-12-29,2021-06-01,2020-006,强制性标准,全国范围内食品供应链,食品安全标准,国家卫生健康委员会,食品安全法,中国疾病预防控制中心,http://www.chinacdc.cn/,2024-09-29,,,,,,,
T/CGFA 0035-2021,植物基食品标准,2021-09-05,2022-01-01,T-CGFA-0035,团体标准,全国植物基食品生产企业,食品安全标准,中国植物基食品协会,团体标准制定办法,上海食品安全信息网,http://www.shfood.gov.cn/,2024-09-29,,,,,,,
DB H63/003-2023,地方食品安全标准：藕,2023-04-10,2023-10-01,DB-H63-003,地方标准,湖北省食品生产、销售,地方食品安全标准,湖北省市场监督管理局,地方食品安全法,湖北省市场监管信息网,http://www.hbsp.gov.cn/,2024-09-29,,,,,,,
GBT 28004-2023,食品营养成分标示标准,2023-05-05,2023-11-01,GBT-28004-2023,推荐性标准,全国范围内食品生产企业,食品安全标准,国家市场监督管理总局,食品标签法规,中国营养学会,http://www.cnsoc.org/,2024-09-29,,,,,,,
GB 5009-2022,食品添加剂的安全使用标准,2022-10-20,2023-04-01,2022-007,强制性标准,全国范围内食品添加剂使用,食品安全标准,国家卫生健康委员会,食品添加剂使用标准,中国国家食品药品监督管理局,http://www.nmpa.gov.cn/,2024-09-29,,,,,,,
T/CFA 0040-2023,食品健康声明标准,2023-02-01,2023-07-01,T-CFA-0040,团体标准,全国范围内食品生产企业,食品健康标准,中国食品安全协会,团体标准制定办法,中国消费者协会,http://www.cca.org.cn/,2024-09-29,,,,,,,
GB 12345-2023,食品中重金属限量标准,2023-01-15,2023-07-01,2023-001,强制性标准,全国范围内食品生产,食品安全标准,国家市场监督管理总局,食品安全法,国家卫生健康委员会,https://www.nhc.gov.cn/,2024-09-29,,,,,,,
GB 9876-2019,食品在线检测标准,2019-04-20,2019-10-01,2019-002,强制性标准,食品生产、流通,食品安全标准,国家食品安全监督管理局,食品安全法,食品安全信息网,https://www.cfda.gov.cn/,2024-09-29,,,,,,,
DB H12/003-2022,地方食品安全标准：大米,2022-07-10,2023-01-01,DB-H12-003,地方标准,湖北省食品生产,地方食品安全标准,湖北省市场监督管理局,地方食品安全法,湖北省食品药品监督管理局,https://www.hubei.gov.cn/,2024-09-29,,,,,,,
T/CFDA 0003-2020,乳制品安全评估标准,2020-09-05,2021-03-01,T-CFDA-0003,团体标准,全国乳制品生产企业,食品安全标准,中国乳制品工业协会,团体标准制定办法,中国食品安全信息平台,https://www.cfs.gov.cn/,2024-09-29,,,,,,,
GB 20030-2021,植物保护剂残留限量标准,2021-11-25,2022-05-01,2021-004,强制性标准,全国范围内植物性食品,食品安全标准,农业农村部,植物保护法,农业部食品安全局,https://www.moa.gov.cn/,2024-09-29,,,,,,,
GB/T 33548-2022,食品生产流程管理标准,2022-02-18,2022-08-15,2022-005,推荐性标准,全国食品行业,食品安全标准,中国标准化管理委员会,标准化法,国家食品安全监督管理局,https://www.nb.gov.cn/,2024-09-29,,,,,,,
DB Z01/002-2023,地方食品安全标准：果蔬,2023-03-10,2023-09-01,DB-Z01-002,地方标准,山东省食品生产、销售,地方食品安全标准,山东省食品安全委员会,地方食品安全法,山东省市场监督管理局,https://www.shandong.gov.cn/,2024-09-29,,,,,,,
GB 4210-2020,食品工业废水管理标准,2020-10-12,2021-01-01,2020-006,强制性标准,全国食品工业,环境标准,生态环境部,水污染防治法,生态环境部政策法规司,https://www.mee.gov.cn/,2024-09-29,,,,,,,
GB 7500-2018,食品质量标准,2018-05-05,2019-01-01,2018-007,强制性标准,全国食品行业,食品安全标准,国家市场监督管理局,食品安全法,中国食品质量监测网,https://www.cfda.gov.cn/,2024-09-29,,,,,,,
T/CNB 001-2022,有机食品标准,2022-06-15,2023-01-01,T-CNB-001,团体标准,全国有机食品生产企业,食品安全标准,中国有机食品认证中心,团体标准制定办法,中国绿色食品发展中心,https://www.organicfood.cn/,2024-09-29,,,,,,,
GB 6932-2023,食品微生物限量标准,2023-01-15,2023-07-01,2023-001,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全委员会,https://www.nmpa.gov.cn/,2024-09-29,,,,,,,
DB S10/012-2022,地方食品标签标准,2022-05-20,2022-11-01,DB-S10-012,地方标准,广东省食品生产、销售,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省卫生健康委员会,https://www.gd.gov.cn/,2024-09-29,,,,,,,
GB 18401-2019,食品接触材料及制品的安全标准,2019-03-30,2019-09-01,2019-004,强制性标准,全国范围内食品接触材料的生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,中国标准化管理委员会,http://www.sac.gov.cn/,2024-09-29,,,,,,,
GB 29997-2021,农药残留限量标准,2021-07-05,2021-12-31,2021-006,强制性标准,全国范围内蔬菜、水果生产、销售,食品安全标准,国家农产品质量安全中心,食品安全法,农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
T/CAAF 0013-2020,食品可追溯体系标准,2020-04-10,2020-10-01,T-CAAF-0013,团体标准,全国范围内食品加工企业,食品安全标准,中国食品工业协会,团体标准制定办法,中国质量认证中心,http://www.cqc.com.cn/,2024-09-29,,,,,,,
GB 21549-2018,食品中重金属限量标准,2018-08-29,2019-03-15,2018-005,强制性标准,全国范围内食品生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,生态环境部,http://www.mee.gov.cn/,2024-09-29,,,,,,,
DB J14/003-2023,地方绿色食品标准,2023-02-12,2023-08-01,DB-J14-003,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省绿色食品办公室,https://www.jiangsu.gov.cn/,2024-09-29,,,,,,,
GB 16050-2022,冷链食品安全标准,2022-11-05,2023-05-01,2022-007,强制性标准,全国冷链食品流通领域,食品安全标准,国家市场监督管理总局,食品安全法,国家食品安全委员会,https://www.nmpa.gov.cn/,2024-09-29,,,,,,,
T/CFSA 0022-2021,食品营养标签标准,2021-06-18,2021-12-15,T-CFSA-0022,团体标准,全国范围内食品生产企业,食品安全标准,中国食品安全信息服务中心,团体标准制定办法,中国食品科学技术学会,https://www.cfstc.org/,2024-09-29,,,,,,,
GB 50559-2021,冷冻食品安全标准,2021-03-22,2021-09-01,2021-002,强制性标准,全国范围内冷冻食品的生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家食品药品监督管理局,http://www.nmpa.gov.cn/,2024-09-29,,,,,,,
GB 5009.34-2022,食品中重金属限量标准,2022-11-01,2023-04-01,2022-001,强制性标准,食品生产、进口检验,食品安全标准,国家市场监督管理总局,食品安全法,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-29,,,,,,,
GB 18406.2-2020,食品用塑料材料和制品迁移限量标准,2020-08-10,2021-02-01,2020-005,强制性标准,食品包装材料生产、加工,食品安全标准,国家市场监督管理总局,食品接触材料和制品安全管理办法,中国食品科学技术学会,https://www.cifst.org.cn,2024-09-29,,,,,,,
DB S34/001-2023,地方食品安全标准：南方大米,2023-01-15,2023-07-01,DB-S34-001,地方标准,广东省食品生产、销售,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省卫健委,https://www.gd.gov.cn,2024-09-29,,,,,,,
T/CFFF 0003-2021,食品香料成分标准,2021-06-12,2021-12-01,T-CFFF-0003,团体标准,全国范围内食品生产企业,食品增强剂标准,中国食品添加剂生产协会,团体标准制定办法,中国监测与评估中心,https://www.cme.org.cn,2024-09-29,,,,,,,
GB 28050-2021,预包装食品标签通则,2021-03-17,2021-09-01,2021-007,强制性标准,预包装食品生产、销售,食品安全标准,国家市场监督管理总局,食品标签管理办法,中国国家标准化管理委员会,https://www.sac.gov.cn,2024-09-29,,,,,,,
GB/T 30969-2022,冷链食品运输标准,2022-05-21,2023-01-01,2022-009,推荐性标准,食品运输与仓储,食品安全标准,国家市场监督管理总局,食品运输与贮存条件要求,中国消费者协会,https://www.cca.org.cn,2024-09-29,,,,,,,
T/CAFA 0010-2023,食品加工机械安全标准,2023-02-18,2023-08-01,T-CAFA-0010,团体标准,食品机械工程领域,食品安全标准,中国食品机械协会,产品质量法,全国食品机械安全监测中心,https://www.cfma.org.cn,2024-09-29,,,,,,,
