受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1773/TJ,自主导航系统设计方法,系统设计,空天技术,1,2023-01-15,航空航天科技有限公司,无,已受理,440000,合格,航空科技公司,实验室测试,航空航天科技有限公司,2023-001,空天技术,V1.0,广东省科技厅,http://gdstc.gd.gov.cn/zwgk_n/tzgg/content/post_4254432.html,2024-10-09,
CN10-1782/TJ,高超声速飞行器气动特性测试,性能测试,空天技术,2,2023-03-10,高速气动研究所,无,完成,310000,合格,高速气动科技公司,风洞实验,高速气动研究所,2023-002,空天技术,V1.1,国家航空局,http://www.dlztb.com/zbxx/202410/188940.html,2024-10-09,
CN10-1819/TJ,深空探测器自主导航实验,导航系统,空天技术,1,2023-06-20,深空探索中心,无,正在进行,320000,待审,深空科技有限公司,实地测试,深空探索中心,2023-003,空天技术,V1.0,中国科学网,https://www.sciencenet.cn/article/2023/12/377664.shtm,2024-10-09,
CN10-1815/TJ,遥感影像处理技术,数据处理,空天技术,2,2023-08-05,遥感技术研究所,无,已完成,330000,合格,遥感科技公司,数据分析,遥感技术研究所 ,2023-004,空天技术, V1.0,国家科技部,http://www.most.gov.cn/space-test,2024-10-09,
CN10-1785/TJ,微重力材料,科学实验,空天技术,1,2023-09-10,航空航天材料公司 ,无, 待审,360000,待审, 航空材料公司,实验室测试,航空航天材料公司,2023-005, 空天技术, V1.0,新华网 ,http://www.news.cn/2022-07/25/c_1128862989.htm,2024-10-09,
CN10-1710/TJ,超导体推进技术研究,推进系统,空天技术,1,2023/10/1,超导航天公司,未来科技集团,已受理,120000,合格,超导科技有限公司,实验室测试,超导航天公司,2023-006,空天技术,V1.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1787/TJ,空间聚变反应堆设计,系统设计,空天技术,2,2023/11/15,宇宙能源有限公司,中国工程院,待审,110000,待审,未来能源科技公司,计算机模拟,宇宙能源有限公司,2023-007,空天技术,V1.2,人民日报,http://www.people.com.cn,2024-10-09,
CN10-1742/TJ,无人机航测技术,数据采集,空天技术,1,2023/9/30,环球无人机公司,无人科技研究院,已完成,450000,合格,无人机技术有限公司,空中侦察,环球无人机公司,2023-008,空天技术,V1.1,中国经济网,http://www.ce.cn,2024-10-09,
CN10-1813/TJ,低轨道卫星网络组网技术,系统集成,空天技术,2,2023/12/5,新一代通信科技有限公司,量子通信实验室,正在进行,310000,待审,现代通信公司,仿真测试,新一代通信科技有限公司,2023-009,空天技术,V1.0,中国网络通信协会,http://www.cnca.org,2024-10-09,
CN10-1790/TJ,月球基地建设技术,土建工程,空天技术,1,2023/10/20,月球探测科技有限公司,国家航天局,已受理,630000,合格,宇宙基础科技公司,现场施工,月球探测科技有限公司,2023-010,空天技术,V1.0,航天科技网,http://www.spacechina.com,2024-10-09,
CN10-1773/TJ,地面数字地球模型构建技术,地理信息,空天技术,3,2023/11/1,地理信息科技公司,数字地球研究院,完成,410000,合格,地理科技公司,虚拟现实模拟,地理信息科技公司,2023-011,空天技术,V1.3,中国测绘协会,http://www.cgs.gov.cn,2024-10-09,
CN10-1782/TJ,卫星遥感气象数据分析,数据处理,空天技术,2,2023/9/25,气象卫星科技公司,全球气象组织,正在进行,450000,待审,气象科技有限公司,数据模型分析,气象卫星科技公司,2023-012,空天技术,V1.1,中国气象局,http://www.cma.gov.cn,2024-10-09,
CN10-1819/TJ,卫星导航信号干扰监测技术,监测系统,空天技术,1,2023/12/15,卫星导航科技研究院,国家科技部,待审,440000,待审,导航科技公司,现场监测,卫星导航科技研究院,2023-013,空天技术,V1.0,科技发展报,http://www.stdaily.com,2024-10-09,
CN10-1815/TJ,适应性光学技术研究,光学系统,空天技术,3,2023/11/20,光学科技有限公司,国家光学委员会,已完成,370000,合格,光学设备公司,实验室测试,光学科技有限公司,2023-014,空天技术,V1.1,光学与电子杂志,http://www.optics.org,2024-10-09,
