产品名称（字符型）,产品类型（字符型）,产品规格（字符型）,员工数量（数值型）,单位,评估标准名称（字符型）,评估标准类型（字符型）,实施日期（日期型）,责任单位（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,
空天监测系统,监测设备,型号：KJ-500,150,人,性能评估标准,技术标准,2023-05-01,空天科技公司,官方发布,https://www.kongtian.com/monitor,2024-10-08,,,,,,,,,
空天通信平台,通信设备,带宽：100MHz,200,人,安全性评估标准,安全标准,2023-06-15,通信技术研究院,国家科技部,https://www.most.gov.cn/spacecom,2024-10-08,,,,,,,,,
空天数据处理系统,数据处理软件,处理能力：1TB/day,80,人,效率评估标准,性能标准,2024-01-10,数据科技公司,数据科学协会,https://www.datascience.org.cn/processing,2024-10-08,,,,,,,,,
空天导航系统,导航设备,精度：±5米,120,人,精度评估标准,测量标准,2023-09-20,导航技术公司,国家测绘局,https://www.ngcc.cn/navigation,2024-10-08,,,,,,,,,
空天遥感系统,遥感设备,分辨率：0.5米,90,人,图像质量评估标准,图像标准,2023-07-30,遥感技术公司,中国遥感网,https://www.cresda.cn/remote-sensing,2024-10-08,,,,,,,,,
空天探测器,探测器,尺寸：2m x 1m x 0.5m,50,人,功能评估标准,功能标准,2024-02-05,探测科技公司,国家航天局,https://www.cnsa.gov.cn/detector,2024-10-08,,,,,,,,,
空天环境监测系统,监测设备,监测范围：500km,160,人,环境评估标准,环境标准,2023-04-01,环境监测科技公司,生态环境部,https://www.mee.gov.cn/environment,2024-10-08,,,,,,,,,
空天智能决策系统,决策支持软件,处理能力：实时数据分析,95,人,决策有效性评估标准,决策标准,2024-03-15,智能科技研究所,智库研究中心,https://www.thinktank.org.cn/,2024-10-08,,,,,,,,,
空天紧急救援系统,紧急响应设备,响应时间：2小时,300,人,紧急响应能力评估标准,能力标准,2023-12-20,国家应急管理局,国家灾害管理中心,https://www.mem.gov.cn/emergency,2024-10-08,,,,,,,,,
空天空间探测平台,探测器,探测范围：1000km,220,人,探测有效性评估标准,探测标准,2024-05-30,探测器研发公司,国际空间研究组织,https://www.isro.gov.in/,2024-10-08,,,,,,,,,
空天物流管理系统,物流软件,服务范围：全域覆盖,80,人,物流管理效率评估标准,物流标准,2024-01-25,物流科技集团,国家物流与运载协会,https://www.cnlogistics.org/,2024-10-08,,,,,,,,,
空天智能监控系统,监控设备,视频清晰度：4K,120,人,监控质量评估标准,监控标准,2023-11-10,智能监控技术公司,国家公共安全局,https://www.mps.gov.cn/,2024-10-08,,,,,,,,,
空天气象预测系统,气象设备,预测范围：1000km,75,人,气象预测准确度评估标准,气象标准,2023-08-15,中国气象局,全球气象网络,https://www.cma.gov.cn/,2024-10-08,,,,,,,,,
空天信息融合平台,数据融合软件,数据处理能力：10TB/day,100,人,信息整合效率评估标准,数据标准,2024-02-20,信息技术创新中心,国家科技创新局,https://www.most.gov.cn/,2024-10-08,,,,,,,,,
空天气候变化监测系统,气候监测设备,监测内容：气温、湿度,190,人,气候监测标准,环境标准,2023-03-10,环境保护部,世界气候组织,https://www.wmo.int/,2024-10-08,,,,,,,,,
空天无人机控制系统,无人机操控软件,控制距离：50km,140,人,控制系统性能评估标准,控制标准,2024-04-05,无人机应用科技公司,无人机协会,https://www.uav.org.cn/,2024-10-08,,,,,,,,,
空天监测卫星,卫星,轨道高度：600km,300,人,卫星性能评估标准,技术标准,2024-03-15,空天卫星有限公司,国家航天科技局,https://www.nasac.gov.cn/,2024-10-08,,,,,,,,,
