批准文号/注册证号（字符型）,人工智能系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,是否通过一致性（字符型）,人工智能系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
AI-007-2023,AI医疗助手,V1.0,谷歌,2023-01-15,谷歌医疗,谷歌医疗,是,医疗健康,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-11,,,,,,,,
AI-015-2023,智能交通管理系统,V2.0,国家交通部,2022-11-20,国家交通部,国家交通部,是,交通运输,CSDN,https://blog.csdn.net/metaboss/article/details/125311239,2024-10-11,,,,,,,,
AI-023-2023,家居智能助手,V1.0,小米,2023-03-10,小米科技,小米科技,是,家居生活,TechTarget,https://www.techtarget.com/searchenterpriseai/tip/9-top-applications-of-artificial-intelligence-in-business,2024-10-11,,,,,,,,
AI-032-2023,AI风险管理系统,V1.0,高盛,2023-05-05,高盛金融,高盛金融,否,金融服务,Tsinghua University,http://www.tup.tsinghua.edu.cn/upload/books/yz/088094-01.pdf,2024-10-11,,,,,,,,
AI-041-2023,智能学习平台,V1.0,Coursera,2023-06-01,Coursera教育,Coursera教育,是,教育行业,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-11,,,,,,,,
AI-058-2023,精准农业助手,V1.0,农业部,2023-04-10,农业部,农业部,是,农业,CSDN,https://blog.csdn.net/metaboss/article/details/125311239,2024-10-11,,,,,,,,
AI-067-2023,智能客服系统,V1.0,百度,2023-02-15,百度科技,百度科技,是,客户服务,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-11,,,,,,,,
AI-075-2023,人工智能法律助手,V1.0,法天使,2023-07-01,法天使法律科技,法天使,否,法律服务,CSDN,https://blog.csdn.net/metaboss/article/details/125311239,2024-10-11,,,,,,,,
AI-084-2023,智能医学影像分析系统,V1.0,阿里健康,2023-08-15,阿里健康科技,阿里健康,是,医疗健康,Medical AI Updates,https://www.medicalaiupdates.com,2024-10-11,,,,,,,,
AI-092-2023,城市环境监测系统,V1.0,腾讯,2023-08-20,腾讯环境科技,腾讯环境科技,是,环境监测,TechCrunch,https://techcrunch.com,2024-10-11,,,,,,,,
AI-003-2023,智慧产业调度系统,V1.2,海尔,2023-07-25,海尔智能,海尔科技,是,工业管理,China's Tech News,https://www.chinatechnews.com,2024-10-11,,,,,,,,
AI-007-2023,智慧校园管理系统,V1.1,阿里巴巴,2023-09-10,阿里教育,阿里教育,是,教育,EdTech Digest,https://edtechdigest.com,2024-10-11,,,,,,,,
