试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
智能交通系统实验,,智能交通管理系统,交通运输,政府,国家交通部,企业,通用汽车,应用研究,已完成,2,欧洲,德国,2022-03-20,2022-06-01,2023-03-15,2023-09-10,包括传感器网络、数据分析和优化算法,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-10,
智能家居系统开发实验,Sichuan-XinTian-20241020 S0002,家居智能助手,家居生活,科研机构,MIT,企业,小米,技术开发,招募中,1,亚洲,中国,2023-02-10,2023-04-15,2024-02-10,2024-09-15,包括智能设备控制、环境监测和用户交互,CSDN,https://blog.csdn.net/metaboss/article/details/125311239,2024-10-10,
金融风险评估系统实验,,AI风险管理系统,金融服务,企业,高盛,大学,北京大学,应用研究,招募中,1,北美,加拿大,2023-07-01,2023-08-01,2024-05-01,2024-10-01,包括数据挖掘、风险预测和决策支持,TechTarget,https://www.techtarget.com/searchenterpriseai/tip/9-top-applications-of-artificial-intelligence-in-business,2024-10-10,
教育辅助系统实验,Beijing-XinTian-20241020 S0002,智能学习平台,教育行业,企业,Coursera,学校,清华大学,教育研究,招募中,1,亚洲,中国,2023-05-05,2023-06-10,2024-03-20,2024-09-20,包括个性化学习、实时反馈和评估工具,Tsinghua University,http://www.tup.tsinghua.edu.cn/upload/books/yz/088094-01.pdf,2024-10-10,
农业智能管理实验,Shanghai-JunJian-20241022 S0005,精准农业助手,农业,政府,农业部,企业,中科院,应用研究,已完成,2,亚洲,中国,2022-11-15,2023-01-05,2023-12-30,2024-08-15,包括土壤监测、作物分析和决策支持系统,OpenText,https://www.opentext.com/zh-cn/what-is/artificial-intelligence,2024-10-10,
智能城市基础设施管理,Beijing-ZuoZhe-20241023 S0006,城市智能管理系统,城市管理,政府,上海市政府,科研机构,复旦大学,技术开发,招募中,1,亚洲,中国,2023-06-01,2023-07-10,2024-04-20,2024-09-01,包括数据整合、智能监控和绩效评估,Smart Cities World,https://www.smartcitiesworld.net,2024-10-10,
情感智能客服系统研究,,智能客服助手,客户服务,企业,阿里巴巴,大学,清华大学,应用研究,已完成,2,亚洲,中国,2022-06-15,2022-08-01,2023-03-30,2023-08-20,包括情感分析、用户交互与反馈机制,TechCrunch,https://techcrunch.com,2024-10-10,
个性化医疗方案生成系统,,AI医疗方案生成器,医疗健康,企业,IBM,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-04-10,2023-09-01,2024-02-15,2024-10-01,包括用户健康数据分析、个性化推荐和实施方案,PubMed,https://pubmed.ncbi.nlm.nih.gov,2024-10-10,
人工智能辅助心理健康管理,,智能心理健康助手,心理健康,企业,微软,科研机构,北京师范大学,应用研究,招募中,1,北美,加拿大,2023-08-05,2023-09-15,2024-03-25,2024-09-20,包括情感支持、用户反馈收集和数据分析,Mental Health America,https://www.mhanational.org,2024-10-10,
智能养老系统研究,,AI养老助手,养老服务,政府,日本厚生劳动省,企业,豐田自动车株式会社,应用研究,已完成,2,亚洲,日本,2022-10-01,2022-12-15,2023-11-30,2023-09-01,包括健康监测、社交互动和生活助手,Japan Times,https://www.japantimes.co.jp,2024-10-10,
智能供应链管理优化,,供应链智能优化系统,企业管理,企业,亚马逊,大学,麻省理工学院,技术开发,招募中,1,北美,美国,2023-03-15,2023-05-01,2024-01-10,2024-08-05,包括数据挖掘、预测模型和决策支持,Gartner,https://www.gartner.com,2024-10-10,
农业智能灌溉系统实验,Shanghai-WeiXin-20241029 S0012,智能灌溉助手,农业,企业,农夫山泉,科研机构,中国农业科学院,应用研究,已完成,2,亚洲,中国,2022-12-10,2023-01-20,2023-09-15,2023-08-30,包括湿度监测、自动化控制和数据分析,AgFunder,https://agfundernews.com,2024-10-10,
环境监测与野生动物保护系统,Tianjin-JinXing-20241030 S0013,AI环境监测助手,环境保护,非政府组织,世界自然基金会,科研机构,中国科学院,应用研究,招募中,1,全球,各国,2023-09-10,2023-10-15,2024-06-01,2024-04-01,包括数据采集、物种监测和生态风险评估,Environmental Science & Policy,https://www.journals.elsevier.com/environmental-science-and-policy,2024-10-10,
智能城市生态监测系统,Shaanxi-HuaZhong-20241031 S0014,城市环境AI监测助手,城市发展,地方政府,上海市政府,企业,阿里巴巴,应用研究,招募中,1,亚洲,中国,2023-03-01,2023-07-10,2024-06-30,2024-09-01,包括空气质量监控、实时数据分析,政府发布,https://www.shanghai.gov.cn,2024-10-10,
AI辅助的环境保护策略研究,,绿色AI平台,环境科学,科研机构,剑桥大学,非营利组织,世界自然基金会,理论研究,招募中,1,欧洲,英国,2023-04-20,2023-09-01,2025-01-15,2024-10-01,包括气候模型数据、智能决策支持,ResearchGate,https://www.researchgate.net,2024-10-10,
个性化营养与健康管理系统,,智能营养助手,健康管理,企业,Nutrify,大学,斯坦福大学,应用研究,招募中,1,北美,美国,2023-06-15,2023-08-01,2024-06-15,2024-10-05,包括饮食追踪、个性化建议、健康监测,Nutrition Journal,https://nutritionj.com,2024-10-10,
