保险机构名称（字符型）,海洋保险种类（字符型）,海洋保险规模（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
中国人民保险公司,海洋运输货物保险,5000,万人民币,法信,http://www.faxin.cn/lib/syyl/SyylContent.aspx?gid=D176293,2024-10-13,,,,,,,,,,,,,,
平安保险,船舶营运险,3000,万人民币,外贸知识网,https://www.hgj.com/knowledge/show-2864.html,2024-10-13,,,,,,,,,,,,,,
太平洋保险,船舶建造险,2000,万人民币,百度百科,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B%E8%BF%90%E8%BE%93%E8%B4%A7%E7%89%A9%E4%BF%9D%E9%99%A9/9018092,2024-10-13,,,,,,,,,,,,,,
新华保险,船舶停航险,1500,万人民币,法信,http://www.faxin.cn/lib/syyl/SyylContent.aspx?gid=D176293,2024-10-13,,,,,,,,,,,,,,
中华联合保险,集装箱保险,2500,万人民币,外贸知识网,https://www.hgj.com/knowledge/show-2864.html,2024-10-13,,,,,,,,,,,,,,
阳光保险,船舶修理险,1000,万人民币,百度百科,https://baike.baidu.com/item/%E6%B5%B7%E6%B4%8B%E8%BF%90%E8%BE%93%E8%B4%A7%E7%89%A9%E4%BF%9D%E9%99%A9/9018092,2024-10-13,,,,,,,,,,,,,,
国泰产险,海运战争险,800,万人民币,法信,http://www.faxin.cn/lib/syyl/SyylContent.aspx?gid=D176293,2024-10-13,,,,,,,,,,,,,,
中国平安保险公司,海洋环境责任险,4000,万人民币,进行海洋保险网,https://www.oceaninsurance.cn,2024-10-13,,,,,,,,,,,,,,
信达保险,集装箱货物险,3500,万人民币,海运通,https://www.seatrans.com,2024-10-13,,,,,,,,,,,,,,
华夏保险,远洋运输保险,4500,万人民币,财经网,https://www.caijing.com.cn,2024-10-13,,,,,,,,,,,,,,
中华人寿保险公司,船舶财产险,2800,万人民币,上海保险行业协会,http://www.shbia.org,2024-10-13,,,,,,,,,,,,,,
安信保险,水上人员责任险,900,万人民币,中国保险监督管理委员会,https://www.cbirc.gov.cn,2024-10-13,,,,,,,,,,,,,,
太平洋产险,游艇保险,1200,万人民币,海洋经济资讯,https://www.oceaneconomy.cn,2024-10-13,,,,,,,,,,,,,,
大都会人寿,水产品养殖险,1600,万人民币,海洋网,https://www.oceannews.com,2024-10-13,,,,,,,,,,,,,,
阳光财产保险,浮动平台险,2200,万人民币,海洋产业观察,https://www.oceanindustry.com,2024-10-13,,,,,,,,,,,,,,
中信保诚保险,船体损失险,3500,万人民币,中国物流与采购联合会,http://www.cldpc.org.cn,2024-10-13,,,,,,,,,,,,,,
人保海洋保险,远洋渔业保险,500,万人民币,法国保险协会,https://www.frenchinsurance.org,2024-10-13,,,,,,,,,,,,,,
安盛保险,海洋风暴险,3600,万人民币,中国保险网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋责任险,4200,万人民币,每日经济新闻,https://www.nbd.com.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,渔业保险,1800,万人民币,海洋经济观察,http://www.marine-economy.org.cn/,2024-10-13,,,,,,,,,,,,,,
人保财险,货物运输保险,5500,万人民币,新华网,http://www.xinhuanet.com/,2024-10-13,,,,,,,,,,,,,,
中国平安,船舶损失险,2700,万人民币,中国经济网,http://www.ce.cn/,2024-10-13,,,,,,,,,,,,,,
信泰保险,海上综合险,3200,万人民币,财经网,https://www.caijing.com.cn/,2024-10-13,,,,,,,,,,,,,,
大地保险,海洋污染险,1500,万人民币,中国日报,http://www.chinadaily.com.cn/,2024-10-13,,,,,,,,,,,,,,
中再集团,极端天气保险,4000,万人民币,经济参考报,http://www.jjckb.cn/,2024-10-13,,,,,,,,,,,,,,
桃李保险,集装箱泄漏险,850,万人民币,21世纪经济报道,http://www.21jingji.com/,2024-10-13,,,,,,,,,,,,,,
招商局保险,海域使用权险,2900,万人民币,深海产业网,http://www.deepseachain.com/,2024-10-13,,,,,,,,,,,,,,
中银保险,海洋环境责任险,1200,万人民币,财新网,https://www.caixin.com,2024-10-13,,,,,,,,,,,,,,
华安保险,船舶货运保险,4500,万人民币,中国保险报,https://www.cib.cn,2024-10-13,,,,,,,,,,,,,,
安邦保险,海洋投资保险,3000,万人民币,第一财经,https://www.yicai.com,2024-10-13,,,,,,,,,,,,,,
中意人寿,船舶过失责任险,2100,万人民币,新浪财经,https://finance.sina.com.cn,2024-10-13,,,,,,,,,,,,,,
太平保险,远洋货运险,3700,万人民币,经济日报,http://www.ce.cn,2024-10-13,,,,,,,,,,,,,,
信诚保险,海洋运输意外险,1300,万人民币,华尔街日报,https://cn.wsj.com,2024-10-13,,,,,,,,,,,,,,
天安保险,海洋资源勘探险,1600,万人民币,世界保险网,http://www.worldinsure.com,2024-10-13,,,,,,,,,,,,,,
富通保险,水上施工保险,2800,万人民币,商业周刊,https://www.businessweek.com,2024-10-13,,,,,,,,,,,,,,
国寿财险,旅程保险,900,万人民币,云财经,https://www.yuncaiyi.com,2024-10-13,,,,,,,,,,,,,,
平安养老险,渔业责任险,2500,万人民币,网信保险网,http://www.wxbaoxian.com,2024-10-13,,,,,,,,,,,,,,
新华人寿保险,海洋货物运输险,6500,万人民币,金融时报,https://www.cfi.cn,2024-10-13,,,,,,,,,,,,,,
人保财险,海洋责任险,4000,万人民币,保险日报,http://www.insurancedaily.cn,2024-10-13,,,,,,,,,,,,,,
华安保险,海洋工程险,2200,万人民币,南方周末,https://www.infzm.com,2024-10-13,,,,,,,,,,,,,,
天安保险,水上意外险,1850,万人民币,北京商报,http://www.bbtnews.com,2024-10-13,,,,,,,,,,,,,,
阳光财险,渔船保险,900,万人民币,新华网,http://www.xinhuanet.com,2024-10-13,,,,,,,,,,,,,,
中华保险,商船碰撞险,3200,万人民币,澎湃新闻,https://www.thepaper.cn,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海上货物责任险,7500,万人民币,时报周刊,https://www.weeklytimes.ca,2024-10-13,,,,,,,,,,,,,,
平安养老保险,海洋事故赔偿险,1300,万人民币,澎湃国际,https://www.pangu.com,2024-10-13,,,,,,,,,,,,,,
安邦保险,船舶增值险,5600,万人民币,经济观察报,http://www.eeo.com.cn,2024-10-13,,,,,,,,,,,,,,
国信保险,海洋盗抢险,1100,万人民币,第一财经,http://www.yicai.com,2024-10-13,,,,,,,,,,,,,,
中国保险监督管理委员会,海洋环境责任险,6000,万人民币,南方日报,https://www.southcn.com,2024-10-13,,,,,,,,,,,,,,
农银人寿,水上旅游险,1200,万人民币,经济观察报,https://www.eeo.com.cn,2024-10-13,,,,,,,,,,,,,,
泰康人寿,海上货物险,4500,万人民币,中国保险网,http://www.china-insurance.com,2024-10-13,,,,,,,,,,,,,,
华安保险,码头责任险,2200,万人民币,航运界,http://www.shippingnews.com,2024-10-13,,,,,,,,,,,,,,
华泰保险,深海勘探险,3500,万人民币,中国海洋报,http://www.maritime.cn,2024-10-13,,,,,,,,,,,,,,
安盛保险,远洋渔业险,900,万人民币,现代渔业,http://www.modernfisheries.com,2024-10-13,,,,,,,,,,,,,,
光大永明人寿,船员保障险,1300,万人民币,国际船舶网,http://www.shipnet.com,2024-10-13,,,,,,,,,,,,,,
中意人寿,海洋气象险,1800,万人民币,中国气象局,http://www.cma.gov.cn,2024-10-13,,,,,,,,,,,,,,
众安在线,海洋运输延误险,2600,万人民币,金融时报,http://www.ftchinese.com,2024-10-13,,,,,,,,,,,,,,
交通银行保险,海上碰撞险,700,万人民币,中国运输新闻网,http://www.chinatransport.com,2024-10-13,,,,,,,,,,,,,,
大都会人寿保险,海洋运输人身险,4500,万人民币,中国保险网,http://www.circ.gov.cn/,2024-10-13,,,,,,,,,,,,,,
华泰保险,渔船责任险,1200,万人民币,海洋经济研究中心,http://www.oceanservice.org/,2024-10-13,,,,,,,,,,,,,,
中银保险,海上货物盗窃险,3000,万人民币,商业保险杂志,http://www.sib.gov.cn/,2024-10-13,,,,,,,,,,,,,,
中国船舶运输集团公司保险部,水上设施险,1800,万人民币,交通运输部,http://www.mot.gov.cn/,2024-10-13,,,,,,,,,,,,,,
安邦保险,海上污染责任险,3500,万人民币,中国水产养殖网,http://www.cdfa.gov.cn/,2024-10-13,,,,,,,,,,,,,,
国华人寿,独立海洋风险保障,6200,万人民币,中国证券网,http://www.cs.com.cn/,2024-10-13,,,,,,,,,,,,,,
兵器工业保险,海洋勘探险,2100,万人民币,财富证券,http://www.cf40.com/,2024-10-13,,,,,,,,,,,,,,
华安保险,中小运输企业险,800,万人民币,保险时报,http://www.insurancetimes.com.cn/,2024-10-13,,,,,,,,,,,,,,
杏花村保险,环境保护责任险,4200,万人民币,科技日报,http://www.stdaily.com/,2024-10-13,,,,,,,,,,,,,,
众安在线,海洋工程保险,7700,万人民币,智通财经,http://www.zhitongcaijing.com/,2024-10-13,,,,,,,,,,,,,,
中国太平洋保险,海洋工程险,6000,万人民币,全球保险网,https://www.globalinsurancenews.com,2024-10-13,,,,,,,,,,,,,,
安盛保险,海上责任保险,4500,万人民币,财新网,https://www.caixin.com,2024-10-13,,,,,,,,,,,,,,
国有资产保护保险,海洋养殖险,2000,万人民币,中国海洋报,http://www.chinaoceannews.com,2024-10-13,,,,,,,,,,,,,,
