海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
海洋牧场产业发展私募股权投资基金,50,亿元,广东省政府引导基金出资20亿（40%），其他LP出资30亿（60%）,南方海洋科学与工程广东省实验室,湛江海洋牧场相关企业,海洋产业链关系图,投中网,https://m.chinaventure.com.cn/news/80-20240427-380882.html,2024-10-14,,,,,,,,,,,
国有企业存量资产优化升级基金,400,亿元,中国国新130亿（32.5%），信达、东方、长城各90亿（22.5%）,中国国新资产管理有限公司,国有控股上市公司、基础设施项目,国企投资关系图,投中网,https://m.chinaventure.com.cn/news/80-20240127-379506.html,2024-10-14,,,,,,,,,,,
昆仑北工绿色创业投资基金,20,亿元,昆仑资本出资20亿（100%）,中油昆仑（北京）私募基金管理有限公司,新能源、新材料相关企业,能源产业链关系图,网易,https://www.163.com/dy/article/J2VHTTDO05198R3E.html,2024-10-14,,,,,,,,,,,
苏州基金（第二期母基金）,43.2,亿元,苏州地方政府出资10亿（23.1%），市场化机构出资33.2亿（76.9%）,苏州基金管理有限公司,医疗健康、人工智能等领域的企业,智能制造产业链图,投中网,https://m.chinaventure.com.cn/news/80-20240127-379506.html,2024-10-14,,,,,,,,,,,
空天海洋产业子基金,35,亿元,湖南省政府引导基金出资15亿（42.9%），其他LP出资20亿（57.1%）,湖南省空天海洋产业投资管理有限公司,航空航天及北斗产业链优质企业,航空航天关系图,36氪,https://www.36kr.com/p/2656310176824456,2024-10-14,,,,,,,,,,,
湖北省引导基金,10,亿元,湖北省政府出资10亿（100%）,湖北省引导基金管理有限公司,高科技企业,科技产业链关系图,搜狐网,https://www.sohu.com/a/759620927_439726,2024-10-14,,,,,,,,,,,
山东省财金红土公共产业投资基金,100,亿元,山东省财政厅出资50亿（50%），社会资本出资50亿（50%）,山东省财金红土股权投资基金管理有限公司,新一代通信、高科技AI等领域的企业,高科技产业链图,上海证券交易所,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-01-03/240459_20240103_0864.pdf,2024-10-14,,,,,,,,,,,
海南海洋生态保护基金,60,亿元,海南省政府引导基金出资30亿（50%），私人投资者出资30亿（50%）,海南省海洋经济发展投资有限公司,海洋生态保护、可再生能源企业,海洋生态产业链关系图,人民网,http://www.people.com.cn/,2024-10-14,,,,,,,,,,,
支持渔业可持续发展基金,80,亿元,农业农村部出资40亿（50%），地方政府及社会资本出资40亿（50%）,可持续渔业投资管理公司,现代渔业、海洋生物科技公司,渔业可持续发展图,中国新闻网,http://www.chinanews.com/,2024-10-14,,,,,,,,,,,
海洋生物医药创新基金,45.5,亿元,生物技术公司出资15亿（33%），国际投资者出资30.5亿（67%）,海洋药业投资管理公司,海洋医药、健康科技企业,生物医药产业链,医药经济报,http://www.pharmacytimes.com/,2024-10-14,,,,,,,,,,,
