海洋科技资源（字符型）,海洋企业资源（字符型）,海洋园区的空间图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,,
海洋高新技术产业,168家海洋企业,上海临港海洋创新园,上海市政府,https://www.lingang.gov.cn/html/website/lg/index/indexabout/facturing/marine/index.html,2024-10-15,,,,,,,,,,,,,,
海洋产业园区,青岛蓝色硅谷,天津塘沽海洋高新技术开发区,广东海洋大学,http://www.haiyangkaifayuguanli.com/ch/reader/download_pdf_file.aspx?file_name=A8D77C701D04C881492B6AA85DE36B0C29CCBDDFFDCE02FB2C31F1C1B1FCD47BAA7C6415B227B8DAD0610943F0FE8EE1DC11F28E0EE9A32D&file_no=20151114&journal_id=hykfygl&open_type=self,2024-10-15,,,,,,,,,,,,,,
海洋经济产业链,舟山群岛海洋产业集聚区,深圳中欧蓝色产业园,中商情报网,https://www.askci.com/news/chanye/20240511/083429271538766920652550.shtml,2024-10-15,,,,,,,,,,,,,,
蓝色经济发展规划,江苏省海洋工程装备制造企业,江苏省海洋工程特种装备产业园,江苏省政府,https://bg.qianzhan.com/trends/detail/506/240726-221ab30c.html,2024-10-15,,,,,,,,,,,,,,
海洋科研教育服务业,厦门市海洋高新产业园,福建省唯一的海洋高新产业园,福建省政府,https://finance.sina.cn/2023-02-09/detail-imyfarwu3043981.d.html,2024-10-15,,,,,,,,,,,,,,
海洋智能技术应用,广州海洋监测科技有限公司,广州市南沙新区海洋科技园区,广东省科技厅,http://www.gdstc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海资源开发,上海海洋石油工程公司,上海深海装备产业园,中国海洋开发网,http://www.chinaocean.dev/,2024-10-15,,,,,,,,,,,,,,
海洋可再生能源开发,浙江海洋能科技有限公司,温州市海洋能产业园区,浙江省发展和改革委员会,http://www.zjdpc.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋生物医药研发,海南生物医药有限公司,海南国际海洋产业园,海南省科技厅,http://www.hainan.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋环境监测与保护,辽宁省海洋环境监测中心,大连海洋科技园,辽宁省环境保护厅,http://www.ln.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海科研与探索,天津深海科学技术研究所,天津滨海新区深海研究园区,天津市科技局,http://www.tj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
海洋旅游发展,三亚海洋旅游发展有限公司,三亚亚特兰蒂斯海洋旅游园,中国旅游局,http://www.cntravel.gov.cn/,2024-10-15,,,,,,,,,,,,,,
智慧渔业管理,福建省智慧渔业科技股份有限公司,福州海洋科技创新园,福建省农业农村厅,http://www.fj.gov.cn/,2024-10-15,,,,,,,,,,,,,,
深海地质研究,中国地质大学（武汉）海洋科学与工程学院,武汉海洋科技园,中国地质调查局,http://www.cgs.gov.cn/,2024-10-15,,,,,,,,,,,,,,
