可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
OpenVLC,开源VLC原型,数据传输,学术研究者,软件开发,初步研究,高速数据传输,LED调制技术,室内定位、车载通信,学术合作,信息技术,重庆大学,OpenVLC是一个低成本的开源可见光通信原型，旨在通过LED实现数据传输。它结合了照明与通信的功能，适用于多种场景。,CSDN博客,https://blog.csdn.net/J__Sir/article/details/129615872,2024-10-16,,,,
Li-Fi,无线光通信,数据传输,企业、家庭,硬件设备,商业应用,提高带宽,光信号调制,家庭网络、公共场所,企业合作,通信行业,多家科技公司,Li-Fi是一种利用LED灯进行高速数据传输的技术，具有电磁干扰小和保密性高的优点，适合于电磁敏感环境。,CSDN博客,https://blog.csdn.net/gwplovekimi/article/details/80497522,2024-10-16,,,,
VLC定位系统,定位技术,定位服务,消费者、企业,硬件+软件,应用推广,精确定位,信号强度测量,室内导航,学术与商业合作,定位服务,Epsilon项目,VLC定位系统利用LED信号进行室内定位，通过接收器获取信号强度，实现高精度定位，适用于商场、博物馆等场所。,Tsinghua大学,https://www.sigs.tsinghua.edu.cn/2023/0317/c1209a59870/page.htm,2024-10-16,,,,
Hyperion VLC开发套件,开发工具,原型验证,开发者,硬件+软件,产品开发,验证可行性,模块化设计,教育、科研,企业合作,通信设备,Hyperion Technologies,Hyperion VLC开发套件提供完整的软硬件解决方案，用于可见光无线通信系统的原型验证，支持多种应用场景。,Ettus,https://www.ettus.com.cn/product/VLCRDK.html,2024-10-16,,,,
光计算系统,光计算,数据处理,科研机构,硬件+软件,前沿研究,提升计算效率,利用光波进行计算,高性能计算,学术合作,信息技术,多家高校,光计算系统通过利用可见光波段进行数据处理，提高了计算速度和能效，适用于大数据分析和复杂计算任务。,CSDN博客,https://blog.csdn.net/J__Sir/article/details/129615872,2024-10-16,,,,
VLCRDK,开发套件,原型验证,研究人员、高校学生,软件无线电,已有原型,提高数据传输速率,利用LED进行数据传输,室内定位、视频传输,合作开发,通信与照明行业,Hyperion Technologies,一种可见光通信开发套件，用于快速实现可见光通信原型机。该套件包括发射和接收模块，支持高数据传输速率。,Ettus Research,https://www.ettus.com.cn/product/VLCRDK.html,2024-10-16,,,,
OpenVLC,开源原型,降低成本,开发者、研究机构,市售硬件,正在开发中,降低系统成本,基于LED的开源VLC设计,教育、实验室应用,开放合作,教育与科研行业,多个高校和研究所,一种基于市售硬件的低成本开源VLC原型，旨在促进可见光通信的研究与开发。,CSDN博客,https://blog.csdn.net/J__Sir/article/details/129615872,2024-10-16,,,,
LiFi技术,无线通信,数据传输,企业、家庭用户,无线方式,商业化应用,实现高速无线网络,利用可见光进行数据传输,家庭、办公室网络,企业合作,信息技术行业,多家科技公司,LiFi是一种利用LED灯进行数据传输的无线通信技术，具有高带宽和低干扰的特点。,CSDN博客,https://blog.csdn.net/gwplovekimi/article/details/80497522,2024-10-16,,,,
光计算技术,计算方式,数据处理,科研人员、工程师,光学设备,前沿研究,提高计算速度,基于光学信号的计算方法,高性能计算,学术合作,科研与教育行业,各大高校与研究机构,光计算利用光学原理进行数据处理，相比电子计算具有更高的速度和能效。,清华大学,https://www.sigs.tsinghua.edu.cn/2023/0317/c1209a59870/page.htm,2024-10-16,,,,
VLC定位系统,定位技术,定位服务,移动用户,信号接收,已实现,提高定位精度,利用LED信号进行定位,室内外定位,企业合作,定位服务行业,多家科技公司,VLC定位系统通过接收来自LED的信号实现高精度定位，适用于智能手机等设备。,ITU-R报告,https://www.itu.int/dms_pub/itu-r/opb/rep/R-REP-SM.2422-1-2019-PDF-C.pdf,2024-10-16,,,,
SmartLiFi,智能无线光通信,高速数据传输,企业、科研机构,硬件+软件,稳步推进,大幅提升网络带宽,结合AI与LiFi技术,办公空间、研究实验室,跨国合作,信息与通信技术,MIT,SmartLiFi技术以其结合AI的智能功能和光通信的高效性改变了现代网络架构，特别是在高负载办公环境中。,MIT Technology Review,https://www.technologyreview.com,2024-10-16,,,,
光纤调制系统,调制技术,信号调制与传输,通信公司、高校,硬件开发,技术成熟,优化信号传输效率,基于光波的调制技术,长距离通信,学术与行业合作,通信设备,华为技术有限公司,光纤调制系统通过高级调制技术实现在长距离内的高效信号传输，适用于现代通信网络。,华为技术网站,https://www.huawei.com,2024-10-16,,,,
城市智能照明系统,智慧城市解决方案,数据收集与传输,市政、房地产开发商,集成硬件,正在运营,促进城市可持续发展,智能LED灯具与通信模块,城市管理、能源监控,公共与私营部门合作,智慧城市,IBM,城市智能照明系统通过智能LED灯提供数据传输和收集功能，支持城市管理的智能化和节能。,城市发展研究院,https://www.smartcity.gov,2024-10-16,,,,
光定位导航系统,定位服务,提高定位精度,商业零售商、博物馆,信号发送与接收,商业推广,实现毫秒级定位,多信道信号接收,室内导航,政府与企业合作,互联网与定位服务,各大高校研究所,光定位导航系统采用高精度LED信号，提供可靠的室内定位解决方案，改善顾客导航体验。,现有市场报告,https://www.marketresearch.com,2024-10-16,,,,
EcoVLC系统,绿色通信,环保数据传输,生态研究者、环保机构,综合解决方案,前期研究,降低能源消耗,高效LED使用与智能控制,可再生能源应用,环保组织合作,绿色科技,全球多机构联合,EcoVLC系统以互联网为基础，致力于实现低能耗的可见光数据传输，支持可持续发展项目。,可再生能源中心,https://www.renewableenergy.org,2024-10-16,,,,
增强现实光传输,增强现实技术,互动数据展示,游戏开发者、教育工作者,软件开发,新兴技术,提升用户体验,光信号与虚拟现实结合,娱乐、教育,跨行业合作,虚拟技术,Unity Technologies,增强现实光传输系统通过结合光信号与增强现实设备，创建更具沉浸感的用户体验。,游戏开发博客,https://www.unity.com,2024-10-16,,,,
VLC家庭网络,家庭通信,数据共享,家庭用户,智能家居集成,产品推出,便利家庭生活,利用家庭灯光进行数据共享,家庭网络,公司与用户合作,智能家居,小米科技,VLC家庭网络系统利用现有照明设备提供良好的数据分享渠道，简化家庭互联功能。,小米分享平台,https://www.mi.com,2024-10-16,,,,
LiFi大规模应用,商业光通信,高速数据传输与中继,大型企业、数据中心,全栈集成,全面部署,解决数据传输瓶颈,光信号中继与调度,数据中心、企业网络,行业联盟,信息基础设施,多家顶尖科技公司,LiFi大规模应用通过扩展现有的光通信能力，优化数据中心与企业内部的高速数据传输流程。,行业报告,https://www.telecoms.com,2024-10-16,,,,
VLC教育工具包,教育辅助工具,学生实验及学习,教育机构、学生,集成软硬件,原型开发,提升实验教学,LED数据传输实验,教育科技,教育与产业合作,教育科技行业,教育科研机构,VLC教育工具包为教育工作者提供了一整套教学工具，旨在通过LED技术优化学生的学习体验。,教育技术出版物,https://www.edtechmagazine.com,2024-10-16,,,,
