可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,,,,,,,备注【疑问汇总】
超高速可见光通信系统,光通信,1,2023-09-01,杭州光科技有限公司,已完成,2023-09-02,合格,杭州光科技有限公司,全光纤接入模块,杭州光科技有限公司,VLC-002-2024,交通管理,无,高级型,V1.0,浙江省科技局,http://smep.sh.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络优化系统,光计算,2,2023-10-05,上海智能光电公司,审核中,2023-10-06,待定,上海智能光电公司,优化算法单元,上海智能光电公司,VLC-005-2024,互联网服务,无,标准型,V1.0,上海市电子技术办,http://sytech.gov.cn/,2024-10-17,,,,,,,,,,
城市智能环境监控系统,光网络,3,2023-09-15,武汉智能科技有限公司,已完成,2023-09-16,合格,武汉智能科技有限公司,监测传感器模块,武汉智能科技有限公司,VLC-007-2024,生态保护,无,标准型,V1.1,武汉市科技信息中心,http://szedup.gov.cn/,2024-10-17,,,,,,,,,,
智能家居可见光网络系统,光通信,1,2023-11-01,成都智慧生活科技有限公司,审核中,2023-11-02,待定,成都智慧生活科技有限公司,用户终端接入模块,成都智慧生活科技有限公司,VLC-010-2024,物联网,无,高级型,V2.0,四川科技发展局,http://whagri.gov.cn/,2024-10-17,,,,,,,,,,
光计算量测与分析系统,光计算,2,2023-10-12,南京光电分析研究院,已完成,2023-10-13,合格,南京光电分析研究院,分析单元,南京光电分析研究院,VLC-013-2024,研究开发,无,标准型,V1.0,南京科技局,http://cdhealth.gov.cn/,2024-10-17,,,,,,,,,,
高清可见光视频传输系统,光通信,1,2023-09-30,青岛光影科技有限公司,审核中,2023-10-01,待定,青岛光影科技有限公司,视频编码模块,青岛光影科技有限公司,VLC-016-2024,媒体传播,无,高级型,V2.1,青岛市科技局,http://jsst.gov.cn/,2024-10-17,,,,,,,,,,
无线可见光通信桥接系统,光通信,1,2023-10-20,西安光通科技公司,已完成,2023-10-21,合格,西安光通科技公司,接入桥接模块,西安光通科技公司,VLC-019-2024,交通运输,无,标准型,V1.0,陕西省科技厅,http://smep.sh.gov.cn/,2024-10-17,,,,,,,,,,
光信号处理与转换系统,光计算,2,2023-11-05,合肥激光工程技术研究中心,审核中,2023-11-06,待定,合肥激光工程技术研究中心,信号处理单元,合肥激光工程技术研究中心,VLC-023-2024,研究与开发,无,高级型,V2.0,安徽科技局,http://sytech.gov.cn/,2024-10-17,,,,,,,,,,
光网络数据安全防护系统,光网络,3,2023-10-15,天津网络安全技术公司,已完成,2023-10-16,合格,天津网络安全技术公司,防火墙模块,天津网络安全技术公司,VLC-025-2024,网络安全,无,标准型,V1.0,天津市科技局,http://szedup.gov.cn/,2024-10-17,,,,,,,,,,
城市智能交通系统,光通信,1,2023-09-05,天津未来科技公司,已完成,2023-09-06,合格,天津未来科技公司,数据传输单元,天津未来科技公司,VLC-029-2024,交通管理,无,标准型,V1.0,天津市科技局,http://whagri.gov.cn/,2024-10-17,,,,,,,,,,
智能医疗监测系统,光计算,2,2023-09-10,成都健康科技有限公司,审核中,2023-09-11,待定,成都健康科技有限公司,生命体征监测模块,成都健康科技有限公司,VLC-002-2024,远程通信,糖尿病监测,高级型,V2.1,成都市医疗健康管理局,http://cdhealth.gov.cn/,2024-10-17,,,,,,,,,,
可见光智能照明系统,光通信,1,2023-09-15,苏州智能照明科技,已完成,2023-09-16,合格,苏州智能照明科技,照明控制单元,苏州智能照明科技,VLC-005-2024,电子教育,室内外照明,标准型,V1.2,江苏省科技厅,http://jsst.gov.cn/,2024-10-17,,,,,,,,,,
高速无线传输系统,光计算,2,2023-09-20,上海传输科技公司,审核中,2023-09-21,待定,上海传输科技公司,传输设备模块,上海传输科技公司,VLC-007-2024,计算机技术,高速数据传输,高级型,V2.0,上海市经济和信息化委员会,http://smep.sh.gov.cn/,2024-10-17,,,,,,,,,,
家庭智能网络系统,光网络,3,2023-09-25,沈阳家庭科技有限公司,已完成,2023-09-26,合格,沈阳家庭科技有限公司,网络管理模块,沈阳家庭科技有限公司,VLC-010-2024,网络通信,家庭无线网络,标准型,V1.0,沈阳市科技局,http://sytech.gov.cn/,2024-10-17,,,,,,,,,,
增强现实可见光系统,光计算,2,2023-09-30,深圳增强科技有限公司,审核中,2023-10-01,待定,深圳增强科技有限公司,视觉增强模块,深圳增强科技有限公司,VLC-013-2024,企业服务,教育培训,高级型,V2.0,深圳市现代教育管理平台,http://szedup.gov.cn/,2024-10-17,,,,,,,,,,
智能农业监测系统,光通信,1,2023-10-03,武汉农业科技发展有限公司,已完成,2023-10-04,合格,武汉农业科技发展有限公司,环境监控单元,武汉农业科技发展有限公司,VLC-015-2024,教育研究,气候监测,标准型,V1.0,武汉市农业信息网,http://whagri.gov.cn/,2024-10-17,,,,,,,,,,
新型光遗传调控系统,光计算,2,2023-10-08,南京生物科技有限公司,审核中,2023-10-09,待定,南京生物科技有限公司,基因调控模块,南京生物科技有限公司,VLC-018-2024,交通监控,生物研究,高级型,V2.0,南京市科技局,http://njtech.gov.cn/,2024-10-17,,,,,,,,,,
可再生能源监控系统,光网络,3,2023-10-15,杭州新能源科技有限公司,审核中,2023-10-16,待定,杭州新能源科技有限公司,能量传输模块,杭州新能源科技有限公司,VLC-020-2024,计算机视觉,能源管理,标准型,V1.0,浙江省能源局,http://zjenergy.gov.cn/,2024-10-17,,,,,,,,,,
先进可见光通信保障系统,光通信,1,2023-08-15,武汉光电信息有限公司,已完成,2023-08-16,合格,武汉光电信息有限公司,光信号调制与解调模块,武汉光电信息有限公司,VLC-024-2024,物联网技术,无,标准型,V1.0,武汉市科技局,http://njtech.gov.cn/,2024-10-17,,,,,,,,,,
融合光计算与网络系统,光计算,2,2023-09-05,长春数字科技有限公司,审核中,2023-09-06,待定,长春数字科技有限公司,数据传输与处理模块,长春数字科技有限公司,VLC-027-2024,监控技术,无,高级型,V2.0,吉林省科技厅,http://zjenergy.gov.cn/,2024-10-17,,,,,,,,,,
智能光网络服务系统,光网络,3,2023-09-20,杭州未来科技有限公司,已完成,2023-09-21,合格,杭州未来科技有限公司,网络教学与服务平台,杭州未来科技有限公司,VLC-003-2024,云计算,无,标准型,V1.0,浙江省科技信息中心,http://njtech.gov.cn/,2024-10-17,,,,,,,,,,
城市光通信监控系统,光通信,1,2023-10-03,南京智慧科技有限公司,审核中,2023-10-04,待定,南京智慧科技有限公司,监控及安防模块,南京智慧科技有限公司,VLC-007-2024,监控技术,无,高级型,V2.1,江苏省科技厅,http://zjenergy.gov.cn/,2024-10-17,,,,,,,,,,
可见光数据存储与识别系统,光计算,2,2023-10-15,厦门信息科技集团,已完成,2023-10-16,合格,厦门信息科技集团,数据存储与检索模块,厦门信息科技集团,VLC-012-2024,数据管理,无,标准型,V1.0,福建省科学技术厅,http://njtech.gov.cn/,2024-10-17,,,,,,,,,,
远程可见光通信系统,光通信,1,2023-10-28,成都智能网络有限公司,审核中,2023-10-29,待定,成都智能网络有限公司,信号扩展与传输模块,成都智能网络有限公司,VLC-015-2024,远程通信,无,高级型,V2.1,四川省科技局,http://zjenergy.gov.cn/,2024-10-17,,,,,,,,,,
智能光传感器网络,光网络,3,2023-11-05,郑州智能传感科技有限公司,已完成,2023-11-06,合格,郑州智能传感科技有限公司,传感数据采集与处理模块,郑州智能传感科技有限公司,VLC-019-2024,数据分析,无,标准型,V1.0,河南省科技厅,http://njtech.gov.cn/,2024-10-17,,,,,,,,,,
