试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
可见光通信可移动设备测试,20240104,便携式可见光通信装置,现场测试,进行中,第一阶段,实用研究,华中科技大学,华中科技大学光电实验室,2024-01-12,2024-01-20,2024-03-15,2024-10-12,新申请,华中光电有限公司,现场实验数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,表的列数出现问题,,,,
光通信抗干扰能力研究,20240105,抗干扰可见光系统,应用研究,完成,第二阶段,基础研究,浙江大学,浙江大学光电研究所,2024-01-15,2024-02-01,2024-04-10,2024-10-11,新技术,浙江光电科技有限公司,项目成果报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
新型可见光计算系统开发,20240106,前沿光计算系统,技术开发,进行中,第三阶段,技术创新,北京理工大学,北京理工大学光电中心,2024-01-20,2024-02-05,待定,2024-10-12,新项目,光未来科技公司,实验室测试数据,中国,北京理工大学官网,https://www.bit.edu.cn/,2024-10-17,,,,,
城市环境中的可见光通信实验,20240107,城市VLC系统,环境研究,完成,第一阶段,应用开发,同济大学,同济大学光电实验室,2024-01-25,2024-02-15,2024-03-30,2024-10-10,技术改进,科技新锐公司,现场实验报告,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
家庭网络中光计算系统试验,20240108,家庭智能光通信系统,系统集成,进行中,第二阶段,技术整合,西安交通大学,西安交通大学光电中心,2024-02-01,2024-02-20,待定,2024-10-10,初步申请,西安光电公司,家庭实验数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
工业控制中的光计算应用研究,20240109,工业光计算平台,应用研究,准备中,第一阶段,技术开发,哈尔滨工程大学,哈尔滨工程大学光电实验室,2024-02-05,待定,待定,待定,初步申请,北方光电技术公司,行业调研数据,中国,哈尔滨工程大学官网,https://www.hrbeu.edu.cn/,2024-10-17,,,,,
基于光通信的城市交通管理系统研究,20240110,城市交通光计算系统,系统集成,进行中,第三阶段,技术整合,南昌大学,南昌大学光电研究所,2024-02-10,2024-03-05,待定,2024-10-12,改进申请,南方智慧科技公司,项目研究数据,中国,南昌大学官网,https://www.ncju.edu.cn/,2024-10-17,,,,,
光计算在智能家居系统中的应用,20240111,智能家居光通信平台,技术应用,完成,第二阶段,产品测试,南京大学,南京大学工程实验室,2024-02-15,2024-03-01,2024-04-20,2024-10-11,新应用,南京光电科技有限公司,市场调研数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
高效能可见光通信系统研发,20240104,新一代VLC系统,技术开发,进行中,第一阶段,技术研究,浙江大学,浙江大学光电实验室,2024-01-10,2024-01-20,2024-12-30,2024-10-15,新申请,浙江光电科技有限公司,行业会议,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
光计算网络架构优化实验,20240105,下一代光网系统,应用研究,完成,第三阶段,系统测试,哈尔滨工业大学,哈尔滨光电研究中心,2024-01-12,2024-02-01,2024-08-20,2024-10-14,技术改进,黑龙江光纤科技公司,科研杂志,中国,哈工大官网,https://www.hit.edu.cn/,2024-10-17,,,,,
新一代光计算硬件测试,20240106,光计算硬件体系,产品测试,准备中,第一阶段,系统开发,西安电子科技大学,西安电子科技大学实验室,2024-01-14,待定,待定,待定,初步申请,西安光电科技股份有限公司,市场调研,中国,西安电科官网,https://www.xidian.edu.cn/,2024-10-17,,,,,
可见光通信与无线异构网络集成,20240107,异构网络集成系统,综合测试,进行中,第二阶段,系统集成,华中科技大学,华中科技大学实验室,2024-01-15,2024-02-15,待定,2024-10-12,改进申请,武汉光电科技有限公司,项目报告,中国,华中科技官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光信号处理算法研究,20240108,VLC信号处理平台,算法研究,完成,第一阶段,基础研究,南开大学,南开大学光电实验室,2024-01-17,2024-01-25,2024-08-15,2024-10-11,研究申请,天津光电研究院,教材出版,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
光计算智能处理单元开发,20240109,智能光计算平台,产品开发,进行中,第二阶段,系统研发,复旦大学,复旦先进计算中心,2024-01-22,2024-02-10,待定,2024-10-16,新技术申请,上海智能科技有限公司,行业报告,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信信道干扰研究,20240110,信道研究平台,基础研究,进行中,第一阶段,技术开发,电子科技大学,电子科技大学光电中心,2024-01-25,2024-02-05,待定,2024-10-10,新申请,成都光电技术公司,实验室数据,中国,电子科技大学官网,https://www.uestc.edu.cn/,2024-10-17,,,,,
可见光通信与网络协同仿真,20240111,仿真与测试平台,协同研究,完成,第三阶段,系统集成,南京大学,南京大学光电实验室,2024-01-30,2024-02-20,2024-09-30,2024-10-07,项目申请,江苏光电科技有限公司,科研论文,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
基于可见光的定位系统研究,20240112,可见光定位平台,应用开发,进行中,第一阶段,技术研究,厦门大学,厦门大学光电研究中心,2024-02-01,待定,待定,待定,初步申请,福建光电科技股份有限公司,技术出版,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
可见光通信与智能交通系统测试,20240104,智能交通VLC系统,应用研究,进行中,第一阶段,技术应用,交通大学,交通大学光电研究中心,2024-01-15,2024-01-20,2024-04-20,2024-10-14,新申请,智能交通科技有限公司,现场试验数据,中国,交通大学官网,https://www.sjt.edu.cn/,2024-10-17,,,,,
高频光计算系统评估实验,20240105,高频光计算平台,基础研究,完成,第三阶段,理论研究,复旦大学,复旦大学光电科学与工程系,2024-01-12,2024-01-25,2024-03-30,2024-10-13,改进申请,复旦光电科技公司,项目技术文档,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
低功耗通信系统测试经历,20240106,低功耗VLC系统,应用研究,准备中,第一阶段,应用开发,东南大学,东南大学光电工程系,2024-01-20,待定,待定,待定,初步申请,东南光电科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于VLC的室内定位系统研究,20240107,室内光定位系统,系统集成,完成,第二阶段,技术研究,天津大学,天津大学智能系统实验室,2024-01-18,2024-02-01,2024-03-15,2024-10-15,技术改进,天津市光电通信研究院,实验室研究数据,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
新型光计算模拟装置研究,20240108,光计算模拟平台,产品开发,进行中,第一阶段,系统测试,厦门大学,厦门大学信息科学与技术学院,2024-01-22,2024-02-10,待定,2024-10-16,新技术申请,厦门科技有限公司,实验室数据,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
多模态光通信系统的性能评估,20240109,多模态光通信平台,基础研究,进行中,第二阶段,系统评估,华中科技大学,光电通信与流媒体实验室,2024-01-25,2024-02-15,待定,2024-10-17,项目报告,华中光电公司,实验室研究,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于光计算的新一代网络架构研究,20240110,新一代光网络架构,应用研究,完成,第三阶段,系统开发,四川大学,光通信研究中心,2024-02-05,2024-02-20,2024-05-10,2024-10-18,新技术申请,四川光电科技有限公司,项目报告,中国,四川大学官网,https://www.scu.edu.cn/,2024-10-17,,,,,
复合光信号处理系统实验,20240111,复合信号处理平台,基础研究,准备中,第一阶段,理论分析,浙江大学,电气工程与自动化研究院,2024-02-10,待定,待定,待定,初步申请,浙江光电有限公司,理论研究文档,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
高速可见光通信技术试验,20240201,集成光通信系统,实验室测试,进行中,第一阶段,基础研究,复旦大学,复旦大学光电实验室,2024-02-05,2024-02-15,2024-07-15,2024-10-10,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于可见光的智能家居通信实验,20240202,智能家居VLC系统,应用研究,准备中,第一阶段,应用开发,华中科技大学,华中科技大学研究所,2024-01-18,待定,待定,2024-10-12,初步申请,华中光电有限公司,研究算法,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光网络安全防护研究,20240203,VLC安全系统,基础研究,进行中,第二阶段,技术研究,浙江大学,浙江大学信息研究院,2024-02-14,2024-02-25,2024-10-01,2024-10-12,新技术,浙江光成科技公司,技术报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
量子光通信技术探索,20240204,纳米光子学通信系统,前沿研究,完成,第一阶段,技术研究,南方科技大学,南方科技大学量子实验室,2024-02-20,2024-03-01,2024-08-20,2024-10-10,研究申请,南方智能科技有限公司,实验数据,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
新型VLC设备产品测试,20240205,VLC设备测试平台,产品测试,进行中,第二阶段,产品开发,天津大学,天津大学光电实验室,2024-02-25,2024-03-05,2024-12-31,2024-10-10,商用申请,天津光电科技公司,产品测试报告,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
