OFDM符号（字符型）,频谱效率（数值型）,单位,保护间隔（字符型）,最大时延扩展（数值型）,单位,同步序列（字符型）,信道估计序列（字符型）,子载波宽度（数值型）,,符号周期（数值型）,单位,小区半径（数值型）,单位,信道参数（字符型）,导频插入方式（字符型）,导频密度（字符型）,合适的域值（字符型）,导频地址（字符型）,采集来源,来源链接,采集时间,备注,,
64,4,bps/Hz,1/8符号周期,100,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,500,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,Tsinghua University,http://www.tup.tsinghua.edu.cn/upload/books/yz/076735-01.pdf,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,200,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,300,m,Rician衰落,每隔2个符号,,高,地址动态,Baidu百科,https://baike.baidu.com/item/OFDM/5790826,2024-10-16,,,
256,6,bps/Hz,1/4符号周期,50,μs,短序列,自适应估计,3.75,kHz,4,ms,700,m,AWGN,每个OFDM符号,,较低,,CSDN博客,https://blog.csdn.net/Cui_Hongwei/article/details/122614035,2024-10-16,,,
512,7,bps/Hz,1/2符号周期,150,μs,长序列,导频插入法,1.875,kHz,2,ms,1000,m,Nakagami衰落,每隔3个符号,1/32,高,,Wikipedia,https://zh.wikipedia.org/zh-sg/%E6%AD%A3%E4%BA%A4%E9%A0%BB%E5%88%86%E5%A4%8D%E7%94%A8,2024-10-16,,,
32,3,bps/Hz,1/8符号周期,80,μs,伪随机序列,线性预测,20,kHz,31.25,ms,400,m,Log-normal衰落,每个OFDM符号,,较高,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
384,8,bps/Hz,1/16符号周期,120,μs,长序列,载波频率估计,3.125,kHz,1.5,ms,900,m,Riciana衰落,每隔2个符号,1/32,适中,动态,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
1024,9,bps/Hz,1/4符号周期,170,μs,时钟同步信号,自适应估计,1.25,kHz,0.975,ms,1200,m,AWGN,每个OFDM符号,1/64,较低,固定,MDPI,https://www.mdpi.com/,2024-10-16,,,
2048,10,bps/Hz,1/2符号周期,60,μs,短序列,最小均方误差,0.625,kHz,0.488,ms,1500,m,Rayleigh衰落,每隔4个符号,,高,固定地址,SpringerLink,https://link.springer.com/,2024-10-16,,,
16,2.5,bps/Hz,1/32符号周期,90,μs,伪随机序列,简单最小二乘估计,60,kHz,62.5,ms,250,m,Nakagami衰落,每隔5个符号,,高,地址动态,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
256,7.5,bps/Hz,1/8符号周期,100,μs,周期性长序列,CSI估计,10,kHz,4,ms,800,m,Rician衰落,每隔2个符号,,适中,动态地址,Springer's Advances in Optical Communication,https://www.springer.com/,2024-10-16,,,
128,6.5,bps/Hz,1/4符号周期,140,μs,信号分包,盲估计,12.5,kHz,8,ms,500,m,Log-normal衰落,每个OFDM符号,,较低,固定,Wiley Online Library,https://onlinelibrary.wiley.com/,2024-10-16,,,
512,8.5,bps/Hz,1/16符号周期,75,μs,短同步码,迭代公式,5,kHz,2.5,ms,600,m,AWGN,每隔4个符号,1/32,适中,动态,Journal of Optical Communications,https://www.degruyter.com/,2024-10-16,,,
2048,11,bps/Hz,1/8符号周期,110,μs,多径同步序列,所有链路预测,0.5,kHz,0.488,ms,2000,m,Rician衰落,每个OFDM符号,1/256,高,固定,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rician衰落,每个OFDM符号,,适中,固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,350,m,AWGN,每隔2个符号,,高,动态,光通信技术期刊,https://www.oejournal.org/,2024-10-16,,,
256,6.1,bps/Hz,1/4符号周期,70,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,Rayleigh衰落,每个OFDM符号,,较低,nan,中国通信学会,http://www.csn.cn/,2024-10-16,,,
