评价方式（字符型）,评价单位（字符型）,评价日期（字符型）,评价报告编号（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
量子比特数目,个,2021-04-02,QBT-2021-001,通信世界,http://www.cww.net.cn/article?id=573675,2024-10-21,,,,,,,,,,,,,
门操作速度,纳秒,2021-04-02,GATE-2021-002,通信世界,http://www.cww.net.cn/article?id=573675,2024-10-21,,,,,,,,,,,,,
测量速度,纳秒,2021-04-02,MEASURE-2021-003,通信世界,http://www.cww.net.cn/article?id=573675,2024-10-21,,,,,,,,,,,,,
重置速度,纳秒,2021-04-02,RESET-2021-004,通信世界,http://www.cww.net.cn/article?id=573675,2024-10-21,,,,,,,,,,,,,
量子存储性能,%,2023-05-15,STORAGE-2023-005,中国科学报,https://www.nsfc.gov.cn/publish/portal0/tab440/info91994.htm,2024-10-21,,,,,,,,,,,,,
量子通信网络评估,个,2023-06-10,QCNET-2023-006,中国科学报,https://www.nsfc.gov.cn/publish/portal0/tab440/info91994.htm,2024-10-21,,,,,,,,,,,,,
随机基准测试,%,2022-08-20,RBTEST-2022-007,中国密码学会,https://cacr2024.cacrnet.org.cn/exhpro/site/term?,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2022-01-15,ENTANGLE-2022-008,量子科技前沿,http://www.quantumfrontier.cn,2024-10-21,,,,,,,,,,,,,
量子算法性能,%,2023-02-22,ALGO-2023-009,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子密钥分发率,kbps,2023-04-10,QKD-2023-010,中国信息通信研究院,https://www.caict.ac.cn,2024-10-21,,,,,,,,,,,,,
量子通信安全性,%,2023-07-05,SECURITY-2023-011,国际量子安全联盟,http://www.iqsa.org,2024-10-21,,,,,,,,,,,,,
量子位误差率,%,2023-08-30,ERROR-2023-012,量子计算研究所,https://www.qcri.edu.cn,2024-10-21,,,,,,,,,,,,,
量子计算机数量,台,2024-01-11,QCNUM-2024-013,国家量子实验室,http://www.nqlab.cn,2024-10-21,,,,,,,,,,,,,
量子模拟速度,小时,2024-02-25,SIMULATE-2024-014,量子技术评论,https://www.qtechnologyreview.com,2024-10-21,,,,,,,,,,,,,
量子网络节点数,个,2024-03-10,NODE-2024-015,量子通信论坛,https://www.quantumforum.com,2024-10-21,,,,,,,,,,,,,
量子传感器灵敏度,pT,2024-04-20,SENSOR-2024-016,前瞻科技,http://www.frontiertech.cn,2024-10-21,,,,,,,,,,,,,
量子计算资源扭曲度,%,2024-05-15,DISTORTION-2024-017,量子算法大会,https://www.qalgorithmconference.com,2024-10-21,,,,,,,,,,,,,
量子纠缠度,个,2023-07-05,ENTANGLE-2023-001,量子科技前沿,https://www.qifeng.com,2024-10-21,,,,,,,,,,,,,
量子算法效率,%,2023-08-17,ALGO-2023-002,计算机科学评论,https://www.csreview.org,2024-10-21,,,,,,,,,,,,,
量子纠错率,%,2023-09-10,QERROR-2023-003,科学美国人,https://www.scientificamerican.com,2024-10-21,,,,,,,,,,,,,
量子通信送达率,%,2023-09-25,QCOMM-2023-004,科技日报,http://www.stdaily.com,2024-10-21,,,,,,,,,,,,,
