零部件名称（字符型）,适配终端类型（字符型）,研发类型（字符型）,生产基地（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
显示驱动芯片,智能手机、平板,集成电路研发,中国深圳,中国电子学会、国家电网、麦肯锡等,https://pdf.dfcfw.com/pdf/H3_AP202205231567306872_1.pdf,2024-09-13,,,,,,,,,,,,,
传感器,智能家居设备,传感器研发,中国上海,智能终端白皮书,https://www.cac.gov.cn/files/pdf/baipishu/ITwhitepaper.pdf,2024-09-13,,,,,,,,,,,,,
电源管理芯片,笔记本电脑,功率管理研发,台湾新竹,中国电子学会、国家电网、麦肯锡等,https://pdf.dfcfw.com/pdf/H3_AP202205231567306872_1.pdf,2024-09-13,,,,,,,,,,,,,
图像处理器,VR设备,图像处理研发,中国北京,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,,,,,,,,,,
存储器芯片,智能手机、平板,存储技术研发,韩国首尔,中国电子学会、国家电网、麦肯锡等,https://pdf.dfcfw.com/pdf/H3_AP202205231567306872_1.pdf,2024-09-13,,,,,,,,,,,,,
射频前端芯片,智能手机,通信技术研发,美国加州,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,,,,,,,,,,
基带芯片,无线通信设备,通信芯片研发,中国深圳,智能终端白皮书,https://www.cac.gov.cn/files/pdf/baipishu/ITwhitepaper.pdf,2024-09-13,,,,,,,,,,,,,
电池管理芯片,移动设备,电池技术研发,中国广州,半导体行业观察,https://www.semiinsights.com/s/package_test/35/41908.shtml,2024-09-13,,,,,,,,,,,,,
高效能处理器,增强现实设备,高性能计算研发,中国杭州,科技日报、国际半导体产业协会,https://www.semiconductors.org,2024-09-13,,,,,,,,,,,,,
环境监测传感器,智能家居设备、可穿戴设备,环境监测技术研发,中国武汉,空气质量监测报告,https://www.aqmd.gov,2024-09-13,,,,,,,,,,,,,
智能助理唤醒芯片,智能音箱,语音识别技术研发,中国北京,机器人技术与应用会议,https://www.roboticsconference.com,2024-09-13,,,,,,,,,,,,,
