协议名称（字符型）,物理层（字符型）,数据链路层（字符型）,网络层（字符型）,传输层（字符型）,应用层（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
HART协议,FSK（频移键控），1200bps,令牌主从问答方式,不适用,半双工通信,通用命令、一般行为命令、设备特定命令,声科电子,https://www.sk029.com/hangyexinwen/875,2024-09-14,,,,,,,,,,,
HART 5版本,RS-485,令牌主从问答方式,不适用,半双工通信,定义简单的通用命令,CSDN博客,https://blog.csdn.net/RhythmWANG/article/details/60342434,2024-09-14,,,,,,,,,,,
HART 6版本,C8PSK，9600bps,增加第二主设备,不适用,半双工通信,扩充用户标识，设备簇命令,德州仪器,https://www.ti.com.cn/cn/lit/an/zhcadc2/zhcadc2.pdf?ts=1711695604838,2024-09-14,,,,,,,,,,,
HART 7版本,DSSS O-QPSK，250kbps,TDMA链路控制方式,自组织、多路径,半双工通信,扩充设备簇命令,维基百科,https://zh.wikipedia.org/wiki/HART%E9%80%9A%E8%A8%8A%E5%8D%94%E5%AE%9A,2024-09-14,,,,,,,,,,,
HART-IP协议,基于以太网,支持多种网络拓扑,支持IP网络,全双工通信,提供远程访问和管理功能,德州仪器,https://www.ti.com.cn/cn/lit/an/zhcadc2/zhcadc2.pdf?ts=1711695604838,2024-09-14,,,,,,,,,,,
HART 8版本,C4QPSK，4800bps,自适应主从控制方式,不适用,全双工通信,增强数据安全性特征,中国仪器仪表行业协会,http://www.cneia.org.cn,2024-09-14,,,,,,,,,,,
HART 7版本增强版,FSK（频移键控），4800bps,轮询询问机制,不适用,半双工通信,实现设备状态监测功能,Instrument Society of America,https://www.isa.org,2024-09-14,,,,,,,,,,,
HART-NG版本,LPWAN（低功耗广域网）,无连接形式,IPv6支持,全双工通信,支持IoT设备整合,IEEE 朱利安学报,https://ieeexplore.ieee.org,2024-09-14,,,,,,,,,,,
HART 5.1版本,RS-232，9600bps,支持多主机,不适用,半双工通信,新的设备诊断命令,华北电力大学研究,http://www.ncepu.edu.cn,2024-09-14,,,,,,,,,,,
HART 10版本,C8PSK，100kbps,分时复用访问,自组织网络,全双工通信,设备固件在线升级功能,电子产品开发,https://www.eepw.com.cn,2024-09-14,,,,,,,,,,,
HART 固件2023,基于蓝牙,点对点连接,IPv4兼容,全双工通信,方便用户设备的实时数据传输,IEEE通信杂志,https://www.comsoc.org/publications,2024-09-14,,,,,,,,,,,
HART 8.2版本,FSK（频移键控），2400bps,增强型令牌传递,不适用,半双工通信,兼容性增强与传统协议,南方科技大学,https://www.sustech.edu.cn,2024-09-14,,,,,,,,,,,
HART 9版本,DSSS，500kbps,集中式管理,高可用网络,全双工通信,数据加密与安全性访问控制,计算机应用研究,http://www.jos.hyt.com.cn,2024-09-14,,,,,,,,,,,
HART 6.1版本,基于光纤,光纤环形拓扑,支持光网络,全双工通信,优化数据流与延迟效应管理,光电电子协会,https://www.oecc.org,2024-09-14,,,,,,,,,,,
HART 6.2版本,无线射频（RF），2.4GHz,自适应信号强度调整,动态路由,半双工通信,设备智能化控制命令,未来科技与智能化,https://www.ai-future.com,2024-09-14,,,,,,,,,,,
HART 8版本,3BPSK，4800bps,主从响应机制,不适用,半双工通信,支持诊断及设备状态信息,ScienceDirect,https://www.sciencedirect.com/,2024-09-14,,,,,,,,,,,
HART 5年更新协议,FSK，2400bps,简单查询模式,不适用,全双工通信,引入云计算支持,ISEE Journal,https://www.isee.org/,2024-09-14,,,,,,,,,,,
HART 9版本,M-ARY调制，100kbps,增强的主从通信,多路径支持,半双工通信,支持高级分析功能,IEEE Xplore,https://ieeexplore.ieee.org/,2024-09-14,,,,,,,,,,,
HART 10版本,基于GPRS,优先级管理机制,支持IPv6,全双工通信,提供精细的能耗管理,TechCrunch,https://techcrunch.com/,2024-09-14,,,,,,,,,,,
HART 超级协议,DSP和FSK复合技术，3000bps,动态令牌机制,支持边缘计算,全双工通信,集成8种语言的用户界面,Electronic Design,https://www.electronicdesign.com/,2024-09-14,,,,,,,,,,,
HART Eco版本,低功耗无线，2000bps,自适应传输方式,不适用,半双工通信,强化环境监控能力,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-09-14,,,,,,,,,,,
HART 未来版本,100 Mbps光纤,完全基于API的交互,多种网络支持,全双工通信,实现AI故障预测,Forbes,https://www.forbes.com/,2024-09-14,,,,,,,,,,,
HART 11版本,LC-PSK，125 kbps,增强的消息优先级系统,自适应传输协议,半双工通信,提供设备故障排查工具,Gartner,https://www.gartner.com/en,2024-09-14,,,,,,,,,,,
HART Mesh版本,基于Mesh网络,网络自愈机制,适应性网络编程,全双工通信,实现主动网络管理,IDC,https://www.idc.com/,2024-09-14,,,,,,,,,,,
HART 8版本,DSSS，500kbps,自适应令牌环控制,不适用,全双工通信,增强命令与响应机制,华为技术,https://www.huawei.com/cn/solutions/internet-of-things,2024-09-14,,,,,,,,,,,
HART 9版本,FSK，2400bps,增强型基于VLAN的通信,IP协议兼容,半双工通信,多设备管理命令集,中兴通讯,https://www.zte.com.cn/cn/investor-relations,2024-09-14,,,,,,,,,,,
HART无线通信协议,无线频率调制,重发算法支持,不适用,半双工通信,支持长距离数据传输,艾默生,https://www.emerson.com/en-cn/solutions,2024-09-14,,,,,,,,,,,
HART 5G兼容协议,基于5G的通信,动态带宽分配,支持IPv6,全双工通信,实时窗口监控,清华大学,https://www.tsinghua.edu.cn/,2024-09-14,,,,,,,,,,,
HART数据集成协议,RS-232与以太网混合,点对点链路控制,局域网/IP支持,全双工通信,数据同步功能集成,国际电工委员会,https://www.iec.ch/,2024-09-14,,,,,,,,,,,
HART增强型命令协议,光纤通信,协议优化支持,不适用,全双工与半双工兼容,增强的故障检测命令,施耐德电气,https://www.se.com/cn/zh/,2024-09-14,,,,,,,,,,,
HART云数据协议,云计算支持的无线通信,API调用管理,支持云平台接入,全双工通信,数据分析与可视化工具,阿里云,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,
HART智能设备协议,基于LoRa的低功耗通信,时分多路访问,不适用,半双工通信,支持传感器网络管理,西门子,https://new.siemens.com/cn/zh.html,2024-09-14,,,,,,,,,,,
HART可持续发展协议,绿色无线通信,节能算法支持,不适用,全双工通信,监测环境参数,联合国环境规划署,https://www.unep.org/,2024-09-14,,,,,,,,,,,
