智能传感器类型（字符型）,主要特性（字符型）,发展历程（字符型）,检测原理（字符型）,输出信号（字符型）,制造材料类别（字符型）,制造材料属性（字符型）,制造材料结构（字符型）,技术路径（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
温度传感器,高精度、快速响应,20世纪初期开始应用,热电偶、热敏电阻,模拟/数字信号,硅材料,导电性、耐高温,单层/多层结构,MEMS、CMOS,涂鸦智能,https://www.tuya.com/cn/industry-details/Kao7dbeplo3ep,2024-09-14,,,,,,,,
湿度传感器,灵敏度高、稳定性强,1980年代发展成熟,电容式、阻抗式,模拟/数字信号,聚合物,吸湿性、耐腐蚀性,薄膜结构,MEMS,CNDFSB,http://www.cndfsb.cn/zlk/23824.htm,2024-09-14,,,,,,,,
气压传感器,耐高压、抗干扰能力强,1970年代开始普及,压阻式、压电式,模拟/数字信号,陶瓷,高强度、耐高温,厚膜结构,MEMS,工业自动化,https://www.tuya.com/cn/industry-details/Kan45br5k5b7w,2024-09-14,,,,,,,,
气敏传感器,选择性强、响应快,1990年代逐渐应用,化学反应,模拟/数字信号,金属氧化物,导电性、灵敏性强,薄膜结构,CMOS,思谋资讯中心,https://cn.smartmore.com/article/post/12569.html,2024-09-14,,,,,,,,
加速度传感器,小型化、低功耗,2000年代后快速发展,压电效应,数字信号,硅材料,导电性、轻量化,微型化结构,MEMS,工业自动化,http://www.cndfsb.cn/zlk/23824.htm,2024-09-14,,,,,,,,
光电传感器,响应速度快、精度高,1990年代技术成熟,光电效应,模拟/数字信号,光敏材料,高灵敏度、稳定性强 ,单层结构 ,CMOS ,涂鸦智能 ,https://www.tuya.com/cn/industry-details/Kao7dbeplo3ep,2024-09-14,,,,,,,,
声音传感器 ,灵敏度高、频率响应广泛 ,1990年代开始应用 ,声波检测 ,模拟/数字信号 ,硅材料 ,导电性、耐温 ,薄膜结构 ,MEMS ,思谋资讯中心 ,https://cn.smartmore.com/article/post/12569.html,2024-09-14,,,,,,,,
光照传感器,高灵敏度、宽波长范围,2000年代初开始应用,光电效应,模拟信号,光敏材料,耐光、低噪声,单层结构,CMOS,智光科技,https://www.zhgkj.com,2024-09-14,,,,,,,,
震动传感器,精准度高、抗干扰,2010年代技术逐渐成熟,压电效应,数字信号,陶瓷,高强度、耐久性强,复合结构,MEMS,震动监测网,http://www.zdmonitor.com,2024-09-14,,,,,,,,
水质传感器,实时监测、精确度高,2015年以后开始广泛使用,电导率检测,数字信号,合成聚合物,耐腐蚀、轻质,多层结构,CMOS,水质分析平台,http://www.waterqualityanalysis.com,2024-09-14,,,,,,,,
