品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
温度传感器,敏感元件 + 转换元件 + 信号调理电路,物理层、数据层、应用层,涂鸦智能,集成式,百度智能云,https://cloud.baidu.com/article/3021261,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 微处理器 + 接口电路,传感层、处理层、输出层,森瑟科技,模块式,森瑟科技,https://www.senther.com/News/193.html,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 转换电路,硬件层、软件层,工业自动化,混合式,CSDN博客,https://blog.csdn.net/RhythmWANG/article/details/60342434,2024-09-14,,,,,,,,,,,,
光电传感器,敏感元件 + 信号调理电路,物理层、应用层,德州仪器,集成式,工业自动化,http://www.cndfsb.cn/zlk/23824.htm,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + 微处理器,信号采集层、处理层,思谋资讯中心,模块式,思谋资讯中心,https://cn.smartmore.com/article/post/12569.html,2024-09-14,,,,,,,,,,,,
声音传感器,敏感元件 + 转换元件,数据采集层、输出层,涂鸦智能,集成式,涂鸦智能,https://www.tuya.com/cn/industry-details/Kao7dbeplo3ep,2024-09-14,,,,,,,,,,,,
气体传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、信号处理层,工业自动化,混合式,工业自动化,http://www.cndfsb.cn/zlk/23824.htm,2024-09-14,,,,,,,,,,,,
生物传感器,敏感元件 + 转换电路,采集层、分析层,医疗科技,集成式,医疗科技,https://www.iot101.com/mobile/news/785.html,2024-09-14,,,,,,,,,,,,
生物气体传感器,敏感元件 + 转换电路 + 无线通信模块,探测层、传输层、云应用层,云测科技,集成式,云测科技,https://www.yuncetest.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、控制层、应用层,小米科技,模块式,小米社区,https://www.mi.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 数据采集模块,监测层、分析层、报告层,安徽电力,集成式,安徽电力官网,http://www.ahdianli.com/,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 模拟信号处理电路,感测层、输出层,福建光电,模块式,福建光电,http://www.fjoptoelectronics.com/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + GPS模块 + 信号调理,检测层、处理层,华为技术,集成式,华为官网,https://www.huawei.com/,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 控制模块 + 数据接口,感测层、反馈层,利盟科技,混合式,利盟科技,https://www.lemontech.com/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号调理电路 + 控制器,输入层、处理层、输出层,北京智能科技,集成式,北京智能官网,https://www.bjznkj.com/,2024-09-14,,,,,,,,,,,,
肺功能传感器,敏感元件 + 数据处理单元,采集层、分析层、显示层,滨州医疗器械,模块式,滨州医疗官网,http://www.bzhospital.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 信号处理电路 + 无线通信模块,监测层、数据层、云层,青岛环保,集成式,青岛环保,http://www.qdpm.com/,2024-09-14,,,,,,,,,,,,
温度补偿传感器,敏感元件 + 反馈控制单元,控制层、执行层,长春精密仪器,模块式,长春精密官网,http://www.ccjm.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,感知层、处理层、应用层,华为技术,集成式,华为官网,https://www.huawei.com/cn/solutions/iot,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 模拟转数字转换器,感知层、传输层,农田科技,模块式,农田科技,https://www.nongdiant.com/solutions,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据处理单元 + 通信接口,检测层、分析层、反馈层,环境科技,混合式,环境科技,https://www.enviros.com/products,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 信号增强电路,采集层、处理层、应用层,晨光传感器,集成式,晨光传感器,https://www.sunlight-sensors.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号调理电路 + 数位信号处理器,信号采集层、协议层、应用层,智能监控科技,模块式,智能监控科技,https://www.smartmonitor.com/products,2024-09-14,,,,,,,,,,,,
息屏传感器,敏感元件 + 控制器 + 用户接口,采集层、分析层、用户层,小米科技,集成式,小米官网,https://www.mi.com/smartdevices,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 处理电路 + 通信模块,探测层、信号传输层、报警层,海康威视,混合式,海康威视技术博客,https://www.hikvision.com/cn/products/,2024-09-14,,,,,,,,,,,,
心率传感器,敏感元件 + 处理单元 + 通信接口,感知层、分析层、传输层,脉动科技,集成式,脉动科技,https://www.pulse-tech.com/healthcare,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 微控制器 + 数据通讯电路,检测层、处理层、应用层,天气讯息,模块式,天气讯息,https://www.weatherinfo.com/solutions/,2024-09-14,,,,,,,,,,,,
智能手环传感器,敏感元件 + 智能芯片 + 无线引导模块,采集层、处理层、应用层,OPPO科技,集成式,OPPO官网,https://www.oppo.com/cn/wearables/,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 转换电路 + 信号调理电路,物理层、信号层、应用层,光电科技,集成式,光电科技,https://www.optoelectronics.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 微处理器 + 数字接口,传感层、处理层、输出层,农业未来科技,模块式,农业未来科技,https://www.agtech.com/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 转换器 + 控制电路,数据采集层、处理层,声科技术,混合式,声科技术,https://www.soncompany.com/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 信号处理器 + 数据传输模块,感知层、计算层、显示层,泵流科技,集成式,泵流科技,https://www.flowtech.com/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感材料 + 模拟电路 + 数字输出,感知层、处理层、输出层,富士通,模块式,富士通,https://www.fujitsu.com/,2024-09-14,,,,,,,,,,,,
智能温控器,温度传感器 + 微控制器 + Wi-Fi模块,传感层、控制层、用户界面层,Nest Labs,集成式,Nest Labs,https://store.google.com/,2024-09-14,,,,,,,,,,,,
