公司名称（字符型）,技术名称（字符型）,技术说明（字符型）,技术先进性表征（字符型）,对应软件著作权（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
法本信息,大数据分析技术,多维度数据挖掘与分析平台,数据处理速度快，支持海量数据,大数据处理软件著作权,法本信息官网,https://www.farben.com.cn/bigdata,2024-09-15,,,,,,,,,,,,
景同科技,云计算技术,云端资源管理与调度系统,提高资源利用率，降低运维成本,云计算管理软件著作权,景同科技官网,http://www.jing-tong.com/cloudtech,2024-09-15,,,,,,,,,,,,
中电金信,区块链技术,分布式账本技术应用于金融交易,安全性高，透明度强,区块链应用软件著作权,中电金信官网,https://www.pactera.com/blockchain,2024-09-15,,,,,,,,,,,,
新华三集团,网络安全技术,实时监测与防护系统,防护能力强，响应速度快,网络安全软件著作权,新华三官网,https://www.h3c.com/cn/security,2024-09-15,,,,,,,,,,,,
致远软件,协同办公平台,集成化的企业协同办公解决方案,提升团队沟通效率，支持多终端访问,协同办公软件著作权,致远软件官网,https://www.seeyon.com/office,2024-09-15,,,,,,,,,,,,
中科院材料研究所,材料高通量技术,高通量材料制备与表征平台,提高材料研发效率，缩短实验周期,材料研发软件著作权,中科院官网,https://www.mater-research.cn/high-throughput,2024-09-15,,,,,,,,,,,,
亿信科技,人工智能助手,人机交互自然语言处理平台,支持多语言交流，智能学习能力强,人工智能助手软件著作权,亿信科技官网,https://www.yx-tech.com/aiassist,2024-09-15,,,,,,,,,,,,
云舟网络,边缘计算技术,低延迟数据处理与分析平台,提升实时数据处理能力，适用于IoT应用,边缘计算软件著作权,云舟网络官网,https://www.yunzhounetwork.com/edgecomputing,2024-09-15,,,,,,,,,,,,
智维创新,虚拟现实技术,沉浸式互动体验平台,高画质渲染，低延迟反应,虚拟现实软件著作权,智维创新官网,https://www.zvcinnovation.com/vrtech,2024-09-15,,,,,,,,,,,,
蓝色宙斯,量子计算技术,用于复杂问题求解的量子算法平台,解决传统计算机无法高效处理的任务,量子计算软件著作权,蓝色宙斯官网,https://www.bluezeus.com/quantumcomputing,2024-09-15,,,,,,,,,,,,
中科云网,5G网络技术,超高速无线通信解决方案,大幅提升上行与下行速度，保障低延迟,5G技术软件著作权,中科云网官网,https://www.zhongkeyun.com/5gtechnology,2024-09-15,,,,,,,,,,,,
科捷科技,机器人流程自动化,智慧企业流程自动化解决方案,执行效率高，错误率低,流程自动化软件著作权,科捷科技官网,https://www.kejitech.com/rpa,2024-09-15,,,,,,,,,,,,
云芯科技,智能芯片技术,用于AI应用的低功耗高效芯片,灵活应对多种计算任务，能耗低,智能芯片软件著作权,云芯科技官网,https://www.yunxintech.com/smartchip,2024-09-15,,,,,,,,,,,,
数据洞察,智能推荐系统,基于用户行为的数据驱动推荐引擎,个性化推荐精确度高，实时性强,推荐系统软件著作权,数据洞察官网,https://www.datainsight.com/recommendationsystem,2024-09-15,,,,,,,,,,,,
天智科技,混合云解决方案,公有云与私有云的灵活组合,增强数据安全，优化资源利用,混合云软件著作权,天智科技官网,https://www.tianzhitech.com/hybridcloud,2024-09-15,,,,,,,,,,,,
智享未来,智能运输系统,用于城市交通管理的智能解决方案,优化交通流量，提高通行效率,运输管理软件著作权,智享未来官网,https://www.zxfl.com/transportationsystem,2024-09-15,,,,,,,,,,,,
智链科技,人工智能驱动的数据分析,基于AI的智能数据挖掘与分析平台,深度学习算法提升预测准确率，处理复杂数据场景,AI数据分析软件著作权,智链科技官网,https://www.zhiliankeji.com/ai-data-analysis,2024-09-15,,,,,,,,,,,,
未来科技,边缘计算技术,在数据产生源附近进行实时处理与分析,降低延迟，提升应用响应速度,边缘计算软件著作权,未来科技官网,https://www.weilaikeji.com/edge-computing,2024-09-15,,,,,,,,,,,,
九天云计算,智能云平台,集成AI与云技术的智能化云服务体系,提供灵活架构，支持动态资源调配,智能云平台软件著作权,九天云计算官网,https://www.ninetiancloud.com/smart-cloud,2024-09-15,,,,,,,,,,,,
博思软件,智能机器人技术,用于自动化业务流程的智能机器人系统,提升自动化效率，降低人工成本,智能机器人软件著作权,博思软件官网,https://www.bosisoft.com/robotics,2024-09-15,,,,,,,,,,,,
青云科技,量子计算服务,基于量子技术的高速计算方案,涵盖复杂问题的高效求解能力,量子计算软件著作权,青云科技官网,https://www.qingyun.com/quantum-computing,2024-09-15,,,,,,,,,,,,
云深科技,图像识别技术,基于深度学习的计算机视觉识别系统,高准确率，广泛支持各类图像识别应用,图像识别软件著作权,云深科技官网,https://www.yundsh.com/image-recognition,2024-09-15,,,,,,,,,,,,
数据港科技,数据治理平台,实现数据质量管理和合规性保障,支持多维度数据清洗和整合,数据治理软件著作权,数据港科技官网,https://www.dataharbor.com/data-governance,2024-09-15,,,,,,,,,,,,
互联未来,物联网平台,一体化物联网管理与控制系统,实现设备互联与数据共享，提升智能化程度,物联网软件著作权,互联未来官网,https://www.hulianweilai.com/iot-platform,2024-09-15,,,,,,,,,,,,
北斗导航科技,高精度定位技术,用于导航与定位的高精度系统,提供厘米级的定位精度，广泛应用于无人驾驶,高精度定位软件著作权,北斗导航科技官网,https://www.beidoutech.com/precision-positioning,2024-09-15,,,,,,,,,,,,
赛尔网,数字孪生技术,支持虚拟与现实的实时互动与维护体系,增强决策支持，提高设备管理及维护效率,数字孪生软件著作权,赛尔网官网,https://www.sairnet.com/digital-twin,2024-09-15,,,,,,,,,,,,
天融信科技,人工智能技术,智能决策支持系统,增强决策效率，自动化分析报告生成,智能决策软件著作权,天融信官网,https://www.tianrongxin.com/ai,2024-09-15,,,,,,,,,,,,
华为技术,5G通信技术,超高带宽的室内外无线网络覆盖解决方案,速率高达几Gbps，延迟低于1毫秒,5G通信软件著作权,华为官网,https://www.huawei.com/5g,2024-09-15,,,,,,,,,,,,
中兴通讯,物联网技术,设备互联及智能管理平台,支持海量设备接入，实时数据采集与分析,物联网管理软件著作权,中兴官网,https://www.zte.com.cn/iot,2024-09-15,,,,,,,,,,,,
商汤科技,计算机视觉技术,面向行业的图像识别与分析方案,识别精度高，具有实时处理能力,计算机视觉软件著作权,商汤科技官网,https://www.sensetime.com/vision,2024-09-15,,,,,,,,,,,,
浪潮集团,边缘计算技术,分布式边缘计算平台,几乎零延迟响应，提高数据处理效率,边缘计算软件著作权,浪潮官网,https://www.inspur.com/edge,2024-09-15,,,,,,,,,,,,
京东数字科技,电子商务云平台,全渠道的电商运营与管理解决方案,支持高并发用户访问，提升交易效率,电商云平台软件著作权,京东数字科技官网,https://www.jd.com/ecommerce,2024-09-15,,,,,,,,,,,,
阿里巴巴,机器学习平台,智能算法与大数据分析结合,自适应模型，支持多种业务场景,机器学习软件著作权,阿里巴巴官网,https://www.alibaba.com/machinelearning,2024-09-15,,,,,,,,,,,,
云从科技,人脸识别技术,高精度的人脸比对与身份验证解决方案,反欺诈能力强，适用于安防领域,人脸识别软件著作权,云从科技官网,https://www.cloudwalk.com/facialrecognition,2024-09-15,,,,,,,,,,,,
腾讯云,区块链云服务,基于区块链技术的安全数据存储与传输,高度安全，数据不可篡改,区块链云软件著作权,腾讯云官网,https://cloud.tencent.com/blockchain,2024-09-15,,,,,,,,,,,,
科大讯飞,语音识别技术,高精度的语音转换与智能交互平台,支持多语言识别与自然语言处理,语音识别软件著作权,科大讯飞官网,https://www.iflytek.com/speechrecognition,2024-09-15,,,,,,,,,,,,
华为技术有限公司,5G通信技术,高效能的5G无线通信解决方案,延迟低，数据传输速率高,5G通信管理软件著作权,华为官网,https://www.huawei.com/cn/5g,2024-09-15,,,,,,,,,,,,
阿里云,边缘计算技术,边缘设备与云服务的协同计算平台,降低延迟，提高响应速度,边缘计算软件著作权,阿里云官网,https://www.aliyun.com/product/edgecomputing,2024-09-15,,,,,,,,,,,,
