公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
Zoho,金融、政企,Zoho CRM,客户信息管理、销售流程自动化,数据自动化与分析,Zoho官网,https://www.zoho.com.cn/crm/articles/case0829.html,2024-09-15,,,,,,,,,,,,
法本信息,各行各业,数字化解决方案,行业智能化升级,大数据与云计算,法本信息官网,https://www.farben.com.cn/hangyeanli/list.html,2024-09-15,,,,,,,,,,,,
景同科技,高科技、制造业,SAP ERP实施咨询服务,企业资源管理,ERP系统集成与优化,景同科技官网,http://www.jing-tong.com/case/success.html,2024-09-15,,,,,,,,,,,,
中电金信,教育、医疗,家园共育平台,家校互动,教育信息化,中电金信官网,https://www.pactera.com/case-study.html,2024-09-15,,,,,,,,,,,,
新华三集团,税务、IT服务,一体化运维解决方案,数据中心可视化管理,IT资产生命周期管理,新华三官网,https://www.h3c.com/cn/Technical_Service/,2024-09-15,,,,,,,,,,,,
致远软件,IT行业,致远互联OA系统,协同办公效率提升,协同办公平台,致远软件官网,https://www.seeyon.com/Mobile/Project/desc.html?id=23,2024-09-15,,,,,,,,,,,,
法本信息,金融、互联网,投资管理解决方案,私募股权投资管理,数据分析与决策支持,法本信息官网,https://www.farben.com.cn/hyjjfa/list.html,2024-09-15,,,,,,,,,,,,
云知声,智能硬件、教育,智能语音交互系统,人机自然语言交互,语音识别与自然语言处理,云知声官网,https://www.unisound.com,2024-09-15,,,,,,,,,,,,
博云科技,物流、交通,智能物流调度平台,运输线路优化、实时监控,大数据分析与机器学习,博云科技官网,https://www.boyun.net,2024-09-15,,,,,,,,,,,,
东软集团,医疗、云计算,医疗数据管理系统,电子病历管理、卫生信息互联,云平台解决方案,东软集团官网,https://www.neusoft.com,2024-09-15,,,,,,,,,,,,
启明星辰,网络安全、金融,安全信息与事件管理系统,实时安全监测、风险评估,网络安全数据分析,启明星辰官网,https://www.venus.com.cn,2024-09-15,,,,,,,,,,,,
飞天诚信,政务、金融,电子签名解决方案,安全电子合同签署,区块链电子签名技术,飞天诚信官网,https://www.flyingtrust.com.cn,2024-09-15,,,,,,,,,,,,
亿迅科技,零售、市场营销,客户关系管理系统,客户支持与营销自动化,AI驱动的客户分析,亿迅科技官网,https://www.eeasy.com,2024-09-15,,,,,,,,,,,,
恒生电子,金融、投资,证券投资管理平台,投资组合管理与分析,金融数据分析与决策支持,恒生电子官网,http://www.hangseng.com.cn,2024-09-15,,,,,,,,,,,,
华云数据,大数据、云计算,大数据分析与存储平台,数据挖掘与可视化,分布式数据处理技术,华云数据官网,https://www.huayun.com,2024-09-15,,,,,,,,,,,,
中兴通讯,电信、网络,智能网络管理系统,网络流量监控与优化,人工智能网络分析,中兴通讯官网,https://www.zte.com.cn,2024-09-15,,,,,,,,,,,,
大华股份,安防监控、智能城市,智能监控系统,视频分析与实时报警,图像识别与处理技术,大华股份官网,https://www.dahuatech.com,2024-09-15,,,,,,,,,,,,
云天科技,医疗、保险,云医疗助手,患者信息管理、在线预约,人工智能患者服务,云天科技官网,https://www.yuntian.com.cn/products/,2024-09-15,,,,,,,,,,,,
创智云,零售、物流,智能供应链管理系统,库存自动化、订单跟踪,智能分析与预测,创智云官网,https://www.chuangzhiyun.com.cn/casestudy/,2024-09-15,,,,,,,,,,,,
华为技术,通信、金融,5G通信解决方案,高速数据传输、减少延迟,新一代网络架构,华为官网,https://www.huawei.com/cn/solutions/,2024-09-15,,,,,,,,,,,,
智享科技,交通、城市管理,智慧交通系统,交通流量监测、优化调度,物联网技术应用,智享科技官网,https://www.zxtech.com.cn/solutions/,2024-09-15,,,,,,,,,,,,
泛微网络,制造业,全流程管理系统,生产管理、资源优化,数字化转型解决方案,泛微官网,https://www.weaver.com.cn/cases/,2024-09-15,,,,,,,,,,,,
东软集团,教育、政府服务,智慧校园解决方案,在线学习、成绩分析,云计算与大数据分析,东软集团官网,https://www.neusoft.com/casestudy/,2024-09-15,,,,,,,,,,,,
平安科技,金融、保险,智能风险管理系统,风险评估、智能决策支持,数据挖掘与分析,平安科技官网,https://www.pingan.com/case/,2024-09-15,,,,,,,,,,,,
讯飞科技,教育、客服,AI智能学习系统,个性化学习服务、语音识别,人工智能教育应用,讯飞官网,https://www.iflytek.com/solutions/,2024-09-15,,,,,,,,,,,,
万达网络,娱乐、文化,多媒体互动平台,内容管理、用户互动分析,大数据与云服务,万达官网,https://www.wanda.com.cn/casestudies/,2024-09-15,,,,,,,,,,,,
