年月,企业,直营收入占比,单位,经销收入占比,单位,电商收入占比,单位,前五大客户占比,单位,最大客户占比,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,
2023,361度,52,%,10,%,38,%,45,%,8,%,安踏国际,https://www.anta.com,2024-09-18,,,,,,,,,,
2022,361度,50,%,30,%,20,%,15,%,5,%,Lululemon官方网站,https://shop.lululemon.com,2024-09-18,,,,,,,,,,
2021,361度,38,%,32,%,30,%,68,%,25,%,万德,https://www.vzkoo.com/,2024-09-18,,,,,,,,,,
2023,Adidas,30,%,50,%,20,%,10,%,2,%,市场调研机构,https://www.wangdai.com/,2024-09-18,,,,,,,,,,
2022,Adidas,50,%,30,%,20,%,65,%,25,%,服装商业,https://www.fuzhuangshangye.com/,2024-09-18,,,,,,,,,,
2021,Adidas,38,%,36,%,26,%,4.5,%,1.5,%,智研咨询,https://www.chyxx.com/,2024-09-18,,,,,,,,,,
2023,Aimer,25,%,55,%,20,%,70,%,10,%,H&M 官方网站,https://www.hm.com,2024-09-18,,,,,,,,,,
2023,American Eagle,70,%,20,%,10,%,40,%,10,%,优衣库官方网站,https://www.uniqlo.com,2024-09-18,,,,,,,,,,
2023,ANTA,33,%,39,%,28,%,70,%,12,%,亿欧网,https://www.iyiou.com,2024-09-18,,,,,,,,,,
2023,Balabala,22,%,48,%,30,%,14,%,3,%,国际品牌观察,https://www.lacoste.com/,2024-09-18,,,,,,,,,,
2022,Balenciaga,42.5,%,22,%,35.5,%,3.5,%,1.5,%,银河网,https://www.yh.com,2024-09-18,,,,,,,,,,
2023,Champion,42.5,%,52.5,%,5,%,4,%,1.5,%,Nike官方网站,https://investors.nike.com,2024-09-18,,,,,,,,,,
2023,Coach,60,%,20,%,20,%,10.5,%,4,%,中国服装网,http://www.chinaapparel.com/,2024-09-18,,,,,,,,,,
2024,Columbia,42,%,38,%,20,%,55,%,15,%,鞋堡官网,https://www.shoebao.com,2024-09-18,,,,,,,,,,
2024,DKNY,29,%,31,%,40,%,68,%,20,%,易观,https://www.analysys.cn,2024-09-18,,,,,,,,,,
2024,Ella,23,%,77,%,25,%,5.5,%,2,%,公司公告,https://www.qianzhan.com,2024-09-18,,,,,,,,,,
2024,Emma Bridgewater,28.3,%,51.5,%,20.2,%,10,%,3,%,聚源,https://www.hangyan.co/,2024-09-18,,,,,,,,,,
2023,ENFASHION,31,%,51,%,18,%,67,%,20,%,马莎官网,https://www.marksandspencer.com/,2024-09-18,,,,,,,,,,
2023,Everlane,42.5,%,35,%,22.5,%,4.5,%,2.5,%,新浪财经,https://finance.sina.com.cn/,2024-09-18,,,,,,,,,,
2024,Everlane,27,%,43,%,30,%,6,%,1.5,%,Inditex,https://www.inditex.com/,2024-09-18,,,,,,,,,,
