零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
电动机,上海电气集团股份有限公司,上海,稳定供给,行业报告,http://gdii.gd.gov.cn/zxzb3257/content/post_4018663.html,2024-09-19,,,,,,,,,,,,,
电动机,上海电气集团股份有限公司,上海,稳定供给,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-19,,,,,,,,,,,,,
变速器,一汽集团,长春,供给紧张,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
刹车系统,博世集团,德国,稳定供给,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
悬挂系统,长安汽车股份有限公司,重庆,稳定供给,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
汽车芯片,中芯国际集成电路制造有限公司,上海,供给不足,工业和信息化部,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
燃料电池,北京燃料电池汽车有限公司,北京,稳定供给,国家能源局,https://www.nea.gov.cn,2024-09-19,,,,,,,,,,,,,
转向系统,华域汽车系统股份有限公司,上海,供给稳定,中国汽车工业协会,https://www.caam.org.cn,2024-09-19,,,,,,,,,,,,,
汽车电池,宁德时代新能源科技股份有限公司,福建,供给紧张,国家新能源汽车技术创新中心,https://www.nengyuan.com,2024-09-19,,,,,,,,,,,,,
冷却系统,潍柴动力股份有限公司,潍坊,供给稳定,中国工程机械工业协会,http://www.ceeia.com,2024-09-19,,,,,,,,,,,,,
排气系统,曼恩汽车公司,德国,供给充足,德国汽车工业协会,https://www.vda.de,2024-09-19,,,,,,,,,,,,,
电控单元,比亚迪股份有限公司,深圳,供给紧张,国家发改委,http://www.ndrc.gov.cn,2024-09-19,,,,,,,,,,,,,
车载传感器,汇顶科技有限公司,深圳,供给不足,中国电子技术标准化研究院,http://www.cesi.cn,2024-09-19,,,,,,,,,,,,,
车门开关,大陆汽车电子有限公司,江苏,供给稳定,中国汽车零部件工业协会,http://www.china-auto-parts.org,2024-09-19,,,,,,,,,,,,,
主控芯片,华芯通半导体有限公司,合肥,供给不足,工信部电子与信息产业司,https://www.miit.gov.cn,2024-09-19,,,,,,,,,,,,,
制动片,武汉一汽丰田汽车有限公司,武汉,供给稳定,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-19,,,,,,,,,,,,,
变速箱油,壳牌石油公司,荷兰,供应充足,国际石油市场协会,http://www.ipe.com,2024-09-19,,,,,,,,,,,,,
