产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注,,,,,,,,
数控铣床,北京机床厂,12000 RPM,800 mm,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,行业报告,https://www.bjmachine.com.cn/products,2024-09-20,,,,,,,,,
数控铣床,北京机床厂,12000 RPM,800 mm,±0.01 mm,±0.005 mm,±0.02 mm,±0.01 mm,工业和信息化部,https://www.miit.gov.cn,2024-09-20,,,,,,,,,
数控车床,上海机床厂,6000 RPM,1000 mm,±0.02 mm,±0.01 mm,±0.03 mm,±0.015 mm,中国机械工业联合会,https://www.cmia.org.cn,2024-09-20,,,,,,,,,
激光切割机,宁波激光科技有限公司,10000 RPM,1500 mm,±0.015 mm,±0.007 mm,±0.025 mm,±0.012 mm,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-20,,,,,,,,,
水刀切割机,杭州水刀科技有限公司,8000 RPM,1200 mm,±0.02 mm,±0.01 mm,±0.02 mm,±0.01 mm,中国水利部,https://www.mwr.gov.cn,2024-09-20,,,,,,,,,
数控冲床,广州冲压设备有限公司,500 RPM,1000 mm,±0.03 mm,±0.015 mm,±0.05 mm,±0.02 mm,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-20,,,,,,,,,
数控钻床,济南机床股份有限公司,15000,900,±0.008,±0.004,±0.015,±0.007,山东省机械制造协会,https://www.sdmachinery.com,2024-09-20,,,,,,,,,
数控激光切割机,深圳光电科技有限公司,20000,1200,±0.005,±0.002,±0.01,±0.005,深圳市产业发展局,https://www.szindustry.gov.cn,2024-09-20,,,,,,,,,
数控磨床,苏州精密机械有限公司,8000,700,±0.01,±0.005,±0.025,±0.012,江苏省机械行业协会,https://www.jsmachinery.org,2024-09-20,,,,,,,,,
数控冲压机,重庆精工机械有限公司,1000,1100,±0.03,±0.015,±0.04,±0.02,重庆市机械制造协会,https://www.cqmachinery.com,2024-09-20,,,,,,,,,
