机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
超精密铣床,0.01 nm,±0.01 μm,Ra < 0.025 μm,高,5,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.01 nm,±0.01 μm,Ra < 0.025 μm,高,5,g,中国机械工业联合会,https://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.01 nm,±0.02 μm,Ra < 0.02 μm,中,4,g,教育部,https://www.moe.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01 nm,±0.015 μm,Ra < 0.005 μm,高,6,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.02 nm,±0.03 μm,Ra < 0.01 μm,中,3,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.005 nm,±0.01 μm,Ra < 0.03 μm,高,5,g,国家发改委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.018 μm,高,7,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.022 μm,中,4,g,中国机床工具工业协会,https://www.cmmt.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.005,±0.008 μm,Ra < 0.015 μm,高,6,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.01 μm,Ra < 0.004 μm,极高,8,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.03 μm,Ra < 0.009 μm,中,3,g,中国机械制造行业协会,https://www.cmmi.org.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.009 μm,Ra < 0.017 μm,高,5,g,智能制造产业技术创新战略联盟,https://www.intelligentmanufacturing.org.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.004,±0.005 μm,Ra < 0.020 μm,高,7,g,中国质量认证中心,https://www.cqc.com.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.005,±0.014 μm,Ra < 0.002 μm,极高,6,g,国际机床工具制造商协会,https://www.cimt.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.012,±0.025 μm,Ra < 0.008 μm,中,4,g,中国制造业促进会,https://www.cmp.org.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.007,±0.007 μm,Ra < 0.011 μm,高,6,g,国家科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.020 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.012 μm,Ra < 0.015 μm,中,5,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
超精密激光切割机,0.005,±0.008 μm,Ra < 0.003 μm,高,7,g,北京市科技委员会,https://gk.beijing.gov.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.009 μm,Ra < 0.018 μm,中,4,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密水刀切割机,0.015,±0.025 μm,Ra < 0.008 μm,高,3,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密多轴加工中心,0.009,±0.007 μm,Ra < 0.012 μm,高,5,g,国家发展改革委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
超精密剃刀刀具,0.006,±0.011 μm,Ra < 0.019 μm,中,2,g,中国材料研究院,https://www.cmii.org.cn,2024-09-21,,,,,,,,,,,
超精密电子束加工机,0.002,±0.004 μm,Ra < 0.001 μm,高,8,g,中国科学院合肥物质科学研究院,https://www.hf.cas.cn,2024-09-21,,,,,,,,,,,
超精密激光焊接机,0.003,±0.005 μm,Ra < 0.004 μm,高,6,g,机械工业信息研究院,https://www.mii.org.cn,2024-09-21,,,,,,,,,,,
超精密精密注塑机,0.015,±0.020 μm,Ra < 0.007 μm,中,3,g,中国电子技术标准化研发院,https://www.cesi.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.008,±0.012 μm,Ra < 0.018 μm,高,4.5,g,中国机械工程学会,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.006,±0.009 μm,Ra < 0.022 μm,中,4.8,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.007,±0.006 μm,Ra < 0.012 μm,高,5.2,g,中国电子科技集团公司,https://www.cetc.com.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.01 μm,Ra < 0.003 μm,高,6.1,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025 μm,Ra < 0.02 μm,低,2.9,g,山东省科技厅,https://www.sdsti.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.02 μm,Ra < 0.015 μm,高,5.5,g,江苏省质量技术监督局,https://www.jsbs.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.01,±0.015 μm,Ra < 0.009 μm,高,5,g,国家信息中心,https://www.sic.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.007,±0.008 μm,Ra < 0.004 μm,中,5.9,g,科技日报,https://www.stdaily.com,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.005 μm,Ra < 0.027 μm,高,6,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.03 μm,Ra < 0.008 μm,中,3.5,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005,Ra < 0.018,中,5,g,中国制造2025,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.015,Ra < 0.022,高,4,g,机械工程学报,https://www.cmes.org,2024-09-21,,,,,,,,,,,
超精密车床,0.004,±0.01,Ra < 0.027,高,6,g,中国机床工具工业协会,https://www.cmtool.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.009,±0.013,Ra < 0.003,极高,7,g,中国质量认证中心,https://www.cqc.com.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.02,±0.02,Ra < 0.009,中,3,g,国家科技部,https://most.gov.cn,2024-09-21,,,,,,,,,,,
超精密铣床,0.002,±0.006,Ra < 0.015,高,5,g,中国机械科学研究院,https://www.camer.org.cn,2024-09-21,,,,,,,,,,,
极低温超导机床,0.006,±0.005,Ra < 0.020,高,6,g,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.003,±0.008,Ra < 0.012,中,5,g,国家工信部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
等离子切割机,0.01,±0.02,Ra < 0.008,高,4,g,全国自动化系统工程中心,http://www.nasys.org.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.025,Ra < 0.011,中,3,g,中国光电产业网,https://www.china-opto.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,中,4,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.007,±0.007 μm,Ra < 0.018 μm,高,5,g,上海机械工程学会,https://www.sme.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.012,±0.012 μm,Ra < 0.004 μm,高,6,g,国家工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
水刀切割机,0.015,±0.02 μm,Ra < 0.009 μm,中,3,g,北京机电工程研究院,https://www.bjmeas.com,2024-09-21,,,,,,,,,,,
超精密车床,0.006,±0.009 μm,Ra < 0.02 μm,高,5,g,Zhiyuan Robotics,https://www.zhiyuanrobotics.com,2024-09-21,,,,,,,,,,,
超精密铣床,0.009,±0.006 μm,Ra < 0.022 μm,中,4,g,国家科学技术部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.01,±0.014 μm,Ra < 0.005 μm,高,7,g,全球激光切割机制造商协会,https://www.laser-cutting.org,2024-09-21,,,,,,,,,,,
超精密磨床,0.004,±0.002 μm,Ra < 0.003 μm,高,6,g,国内机床设备在线评测平台,https://www.machineevaluate.com,2024-09-21,,,,,,,,,,,
水刀切割机,0.018,±0.025 μm,Ra < 0.002 μm,低,2,g,厦门机器人科技研究所,https://www.xmrobotics.cn,2024-09-21,,,,,,,,,,,
超精密车床,0.003,±0.005 μm,Ra < 0.013 μm,中,5,g,广东省机械制造协会,https://www.gdmm.org,2024-09-21,,,,,,,,,,,
超精密铣床,0.008,±0.005 μm,Ra < 0.015 μm,高,6,g,中国科学院,https://www.cas.cn,2024-09-21,,,,,,,,,,,
超精密磨床,0.009,±0.012 μm,Ra < 0.018 μm,中,4,g,全国机械制造协会,https://www.cma.org.cn,2024-09-21,,,,,,,,,,,
激光切割机,0.012,±0.020 μm,Ra < 0.007 μm,高,7,g,国际标准化组织,https://www.iso.org,2024-09-21,,,,,,,,,,,
