机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
光纤激光切割机,0.01,mm,±0.02 mm,Ra 1.6,高,5,g,行业报告,https://www.guoshunlaser.com/MOPAjiguangqi/247,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.01,mm,±0.02 mm,Ra 1.6,高,5,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-09-21,,,,,,,,,,,
CO2激光切割机,0.05,mm,±0.1 mm,Ra 3.2,中,3,g,中国机械工业联合会,https://www.cmia.org.cn,2024-09-21,,,,,,,,,,,
YAG激光切割机,0.02,mm,±0.05 mm,Ra 2.5,中,4,g,教育部,https://www.moe.gov.cn,2024-09-21,,,,,,,,,,,
等离子切割机,0.1,mm,±0.3 mm,Ra 5.0,较低,2,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
激光水刀切割机,0.02,mm,±0.02 mm,Ra 1.0,高,6,g,工业和信息化部,https://www.miit.gov.cn,2024-09-21,,,,,,,,,,,
数控火焰切割机,0.1,mm,±0.5 mm,Ra 3.5,中,2,g,国家发改委,https://www.ndrc.gov.cn,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.015,mm,±0.01,Ra 1.2,高,7,g,中国激光协会,https://www.cla.org.cn,2024-09-21,,,,,,,,,,,
CO2激光切割机,0.06,mm,±0.09,Ra 3.8,中,4,g,中国设备管理协会,https://www.cema.org.cn,2024-09-21,,,,,,,,,,,
YAG激光切割机,0.025,mm,±0.04,Ra 2.0,中,5,g,国家科技部,https://www.most.gov.cn,2024-09-21,,,,,,,,,,,
等离子切割机,0.12,mm,±0.25,Ra 4.5,较低,2,g,国家工商总局,https://www.saic.gov.cn,2024-09-21,,,,,,,,,,,
激光水刀切割机,0.03,mm,±0.015,Ra 1.1,高,8,g,工业自动化促进会,https://www.iaa.org.cn,2024-09-21,,,,,,,,,,,
数控火焰切割机,0.15,mm,±0.4,Ra 4.0,中,3,g,中国机械制造协会,https://www.cmma.org.cn,2024-09-21,,,,,,,,,,,
电弧切割机,0.2,mm,±0.35,Ra 6.0,较低,2,g,国家能源局,https://www.nea.gov.cn,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.012,mm,±0.017,Ra 1.5,高,6,g,数字制造研究院,https://www.dmri.org.cn,2024-09-21,,,,,,,,,,,
UV激光切割机,0.01,mm,±0.02,Ra 2.2,高,7,g,中国光电协会,https://www.cie.org.cn,2024-09-21,,,,,,,,,,,
超高压水刀切割机,0.02,mm,±0.03,Ra 0.8,中,5,g,国家标准化管理委员会,https://www.sac.gov.cn,2024-09-21,,,,,,,,,,,
光纤激光切割机,0.015,mm,±0.015 mm,Ra 1.2,高,6,g,机器视觉技术研究院,https://www.mvrti.org.cn,2024-09-21,,,,,,,,,,,
便携式激光切割机,0.03,mm,±0.05 mm,Ra 2.0,中,4,g,中国激光行业协会,https://www.clia.org.cn,2024-09-21,,,,,,,,,,,
